#{"t_start": 1670590775.3529587, "env_id": null}
r,l,t
0.008485,58,4.632287
0.005366,315,8.241927
0,50,9.118786
0,200,11.603991
0,55,12.530283
0.001459,49,13.425305
12.035913,1001,24.563014
0,64,25.74698
0.004459,46,26.566729
0.000732,927,37.364336
0,46,38.243906
1.014703,1001,49.834664
0,57,50.728526
0,39,51.449404
0,49,52.290848
0,851,64.629403
0,63,65.642818
0.00312,1001,77.495182
1.198857,559,83.951696
0.011105,1001,95.195277
1.9e-05,55,96.154691
0,53,97.076642
0.006111,650,104.676377
0,53,107.962902
1.899237,874,117.483241
0.00593,60,118.407299
0.000389,898,128.596109
0.004886,55,129.538705
0,62,130.544549
0.005438,275,133.821238
0.008456,51,134.731114
0,53,135.644103
0.004691,53,136.589232
5.803967,331,140.489047
4.238037,644,147.787848
0.000949,51,148.665148
0.00944,47,149.521713
0.005299,529,155.981747
0,42,156.798216
0.001088,46,159.992432
0,55,160.922308
0,147,162.846634
0.004683,538,168.977728
0,710,176.967943
0.008056,211,179.747494
0,57,180.648232
0,75,181.830847
0,693,189.524546
0.005636,98,190.985887
0.00068,62,191.994688
0.000255,45,192.863556
0,81,194.10488
0,46,194.960446
0.318942,1001,206.426238
0,58,207.383488
0,61,208.408355
0,47,209.297055
0,44,210.128202
0,224,215.578201
0,59,216.538197
0,69,217.620948
0.002311,252,220.823631
0,41,221.668235
0.000501,68,222.852868
0.013868,275,226.366479
0.004091,43,227.191223
0,60,228.738533
0.003048,167,231.570253
0,45,232.590862
0.006366,349,237.400928
0.004293,59,238.404891
0.005457,58,239.569103
0,46,240.439947
0,44,241.341295
0.237317,1001,253.240957
0,58,254.267714
0,134,256.293912
0,415,261.451926
3.513056,1001,276.584067
0,55,277.606125
4.380275,825,287.849215
0,45,288.731104
0.188964,349,293.45752
0,60,294.463331
0,50,295.369986
0.19542,132,297.476293
0,53,298.447331
0,55,299.508423
0,67,300.559866
0.007581,145,302.462763
0,53,303.534962
0,61,304.524801
0,51,305.433835
1.177884,229,308.444961
0.000321,60,309.470061
0.330762,545,318.016621
1.169582,456,326.429433
0.010627,58,327.959738
0,323,334.14929
0.003226,46,335.451467
0.00017,47,336.618343
0.002379,47,340.648797
0.001888,57,341.650862
0,66,342.678291
0.002057,52,343.68298
1.142943,507,350.313935
0,124,352.362653
0,44,353.333331
0,56,354.427633
0.003857,509,360.662653
0,52,361.644497
0,52,362.529824
0,46,363.554347
0,346,368.153095
0.000239,252,371.514551
0,42,372.400491
0.008197,110,374.191125
0,99,375.990231
0.007507,252,379.736594
0,53,381.062027
0.003234,54,382.233274
0.006176,48,383.239791
0,42,384.149511
0,66,385.422194
0,50,386.308073
0.005543,730,395.483155
0.003154,61,396.680944
0.002697,231,399.906348
0,620,410.786326
0,53,411.722879
0.002081,726,421.028669
0.00598,53,422.180507
0,59,423.359597
0,63,424.480628
0,57,425.47002
0.001802,55,426.5562
0.217447,868,436.950036
0.00244,46,437.776822
0,51,438.766517
0,46,439.6493
0,51,440.638958
0.00062,55,441.648811
0,67,442.872354
0.165454,208,445.716097
4.245249,949,458.119835
2.2e-05,118,462.388446
8.208594,1001,474.145385
0.002474,46,474.978207
10.843374,1001,486.790381
0.002848,96,488.278426
0,45,489.211171
0,87,490.661239
0,54,491.639867
0.221548,202,494.400348
0.005253,47,495.28085
0.001163,61,496.295895
0.249413,1001,507.561792
2.095961,1001,520.891969
0,136,522.698539
0,47,523.570307
4.758731,1001,534.87713
0,58,535.888736
0.001545,53,536.767428
0,56,537.653967
0,59,538.598194
0.014636,88,539.872475
0.001051,56,540.87905
0.003286,59,541.904876
0.000513,1001,553.079779
0.007858,88,554.35295
0,55,555.219528
0,42,555.988445
0.01092,61,556.992285
0.560889,962,570.053564
0.010925,65,571.137078
0.009152,49,572.0229
0.395552,239,574.985899
0.001051,50,575.887414
0.003397,66,577.043794
0,47,577.934556
0,43,578.747892
0,308,582.598036
0.060508,147,584.626668
0.004393,59,585.635746
4.062772,1001,597.726563
1.153162,409,602.72879
7.33925,1001,615.37897
0,53,616.295985
0.00553,63,617.333179
0,56,618.29448
0,53,619.210881
0,50,620.120078
0,54,621.052064
0,347,627.598825
4.721085,1001,638.682671
0.005799,257,641.895007
0.009826,56,642.8043
0,72,643.904185
4.211689,774,652.74436
0.005648,62,653.763466
0,75,655.054187
0.007045,66,656.148293
0,298,659.848032
0.007876,40,660.598619
0.299148,273,663.860789
0.007167,48,664.761084
0.006455,325,668.585315
0,62,669.56548
0,61,670.542367
0.002773,57,671.49685
0,42,672.286627
0,66,673.374994
0.007779,54,674.315296
1.970374,1001,688.073566
0,39,688.826419
0.003003,57,689.790916
0.002237,52,690.72368
0,45,691.602422
0.000549,206,694.213057
0.0046,61,695.227918
0.003501,42,696.020309
0.005597,45,696.795381
4.010742,1001,707.798325
0.043555,114,709.382268
0.007331,45,710.181827
0,54,711.108263
0.005671,46,711.941056
0,41,712.739697
0.006876,62,713.74179
0.000674,80,714.938734
0.002981,44,715.740639
0.028828,313,719.472004
0,60,720.485698
0.007686,59,721.4622
0.353439,89,722.743475
0.006295,47,723.527642
2.34241,293,726.907852
0.00539,48,727.780138
0.006039,57,728.710941
11.016747,673,738.672929
0,40,739.440666
0.00757,1001,751.434578
0,59,752.47781
0,755,761.117206
0.004646,49,762.021444
2.850114,486,767.610307
0,61,768.592156
0.458246,992,779.803355
0,38,780.545609
0.894659,134,784.643185
0.010814,48,785.498843
0,57,786.427727
0.007467,52,787.393061
0,61,788.439348
3.816921,1001,799.851523
0.006002,55,800.810016
0.002234,43,801.610537
2.297796,1001,813.127304
0,52,814.040816
0,75,815.207955
0.004383,70,816.310056
4.670252,1001,827.913544
2.170317,366,832.414479
0.024517,75,833.585805
0,56,834.556412
0.044077,61,837.967777
0,52,838.837689
0.185527,1001,850.215995
0,52,851.123888
0,59,852.107179
4.908537,768,861.148801
2.761309,1001,872.462691
0.0043,72,873.597655
1.099362,1001,885.028747
0,56,885.996849
0.009633,54,889.328932
6.18673,1001,900.485093
0,52,901.36258
0,74,902.567424
0,39,903.380672
0.000147,52,904.289864
0,48,905.146986
0.046864,1001,916.72879
0.194538,114,918.274951
3.243858,467,923.842296
0.857836,462,929.282314
0.008995,62,930.399033
3.78061,844,942.156886
0.696152,1001,953.614085
2.518216,479,959.554103
0.001955,74,960.769843
0.012842,59,961.793298
0,57,962.824858
0,51,963.679492
0.619103,223,966.353343
0,54,967.293335
0.004862,47,968.21351
0.009906,55,969.125107
0.008575,67,970.168092
0.051599,56,971.103784
3.15227,1001,982.130503
1.312552,431,986.971589
8.342169,1001,1000.880723
5.201063,1001,1012.714422
0,54,1013.673992
0.000996,42,1014.492553
0,56,1015.486463
0.001964,63,1016.608598
0.002429,58,1017.582382
1.253425,187,1020.067249
6.330627,428,1025.139841
0,61,1026.089209
1.620131,704,1034.121176
0.171722,249,1037.127857
9.102169,851,1048.955141
0.001819,75,1050.083886
0.32141,104,1051.626539
1.583522,298,1055.219267
5.719494,1001,1066.233075
0.008268,51,1067.136079
1.36824,379,1071.70711
0,57,1072.689715
7.259035,869,1082.844622
1.436897,1001,1096.26546
7.651373,835,1105.801265
0.003548,64,1106.822404
0.75123,447,1112.164481
0.012471,154,1114.229419
0.003699,58,1115.236567
4.092961,931,1126.031508
0,61,1127.075693
6.160988,647,1134.468951
0,56,1135.464923
0,70,1136.557776
0.001663,60,1137.537529
0,57,1138.493399
0.011406,178,1140.77702
0.749012,419,1148.25468
0,54,1149.146569
0.66229,320,1152.926571
3.669223,289,1156.452208
2.151462,1001,1167.868212
0.010771,57,1168.772728
0.006354,50,1169.673008
6.925885,1001,1181.58437
2.563483,999,1193.806084
1.363337,639,1204.688466
1.652905,183,1207.337022
0.25384,101,1208.936754
0.074985,1001,1221.70785
0.015489,51,1222.771078
3.68079,764,1232.886916
0,60,1234.002404
0.126919,1001,1246.790835
5.361789,1001,1261.763555
0,214,1264.803102
0,62,1265.993346
2.143129,1001,1279.050424
0.050686,284,1282.858001
3.919316,1001,1295.16574
0.023023,73,1296.369007
1.665415,331,1300.577753
3.521065,1001,1315.72418
0.817405,327,1320.125054
0.005382,57,1321.185659
0.358495,565,1328.373682
0.522136,209,1331.359989
1.524992,1001,1343.71854
0,60,1344.857667
13.203821,1001,1357.372477
1.084377,246,1360.445502
0.555494,517,1369.424166
0.000426,58,1370.519309
0,86,1372.052064
3.732983,526,1379.342391
5.459715,954,1391.431553
0,57,1392.541633
2.120819,320,1396.905967
4.980413,1001,1410.101997
7.682308,1001,1425.736805
0.899877,214,1428.813544
5.730143,1001,1442.279962
0.029369,99,1443.968068
2.648089,1001,1457.223278
0.00467,82,1458.567611
2.743843,405,1464.047821
0.007951,56,1465.08369
0.009844,60,1466.242323
0.013374,49,1467.14919
7.070563,1001,1479.550104
0.055051,347,1486.363131
1.446095,984,1499.053134
0.949705,227,1502.102657
0.005701,63,1503.243996
3.495446,1001,1516.708057
0.010533,1001,1529.178201
5.319738,1001,1544.361028
8.168109,1001,1556.891098
15.860753,1001,1570.117286
10.094333,834,1580.987973
1.650183,1001,1596.133029
0.016786,167,1598.658379
0.000634,53,1599.724081
7.172521,1001,1612.154083
12.672662,1001,1624.952413
0.089102,130,1627.04405
1.716527,149,1629.623888
12.708351,940,1642.181357
2.731292,824,1656.330525
4.489652,698,1668.089545
3.094676,391,1674.522204
7.369186,1001,1690.54217
1.050499,447,1697.797752
0,60,1699.070132
0,72,1700.541871
11.273255,1001,1716.650179
14.697156,1001,1733.858963
6.467379,1001,1748.237209
9.368681,756,1759.926925
9.230129,1001,1775.491433
0.855877,238,1779.677526
5.177552,730,1794.288926
0,59,1795.490969
0,83,1797.035442
2.115461,381,1803.443586
9.874539,1001,1819.200299
0,78,1820.876879
6.88881,801,1833.73854
11.540403,1001,1849.748719
6.963455,1001,1868.883636
0.469172,184,1872.414489
8.334939,1001,1888.417594
5.626549,1001,1904.052012
16.213103,1001,1922.340641
13.183143,1001,1935.982316
16.148969,1001,1949.127105
0.649349,125,1951.220446
7.899187,1001,1967.616811
11.397471,1001,1985.9814
8.952523,1001,2000.930342
19.358534,1001,2014.961903
14.815883,1001,2030.030133
2.834396,467,2037.448057
1.698817,272,2042.303573
16.481733,1001,2061.720288
10.617889,1001,2076.884518
8.153803,990,2089.995582
5.222505,1001,2103.714067
1.886975,215,2107.093081
8.543302,1001,2122.924595
9.719865,1001,2136.871434
0.430728,125,2138.803768
9.374367,1001,2152.471324
15.380475,1001,2165.939941
0.826951,154,2168.305166
14.345852,1001,2184.28464
10.648579,1001,2201.044285
0.31753,116,2203.379018
7.875684,1001,2219.102624
5.645942,548,2228.215438
8.216639,832,2244.716387
15.956609,1001,2260.515472
17.870733,1001,2276.025175
12.531644,1001,2291.256654
15.397045,1001,2309.430342
0.004188,53,2310.661717
12.978349,1001,2326.766755
0.96738,211,2330.730047
8.25332,1001,2347.184091
0.009808,66,2348.617985
12.019576,1001,2368.508557
14.173513,1001,2386.990547
5.839975,760,2399.026398
18.68297,1001,2414.720647
18.727597,1001,2429.843609
12.503818,1001,2448.643561
13.290139,1001,2464.028666
17.252103,1001,2479.620023
14.685384,1001,2494.801738
12.889342,1001,2513.608346
15.535138,1001,2528.979138
20.590267,1001,2545.083932
12.017182,966,2559.755908
0.005833,70,2561.213217
10.835531,1001,2579.547432
10.679316,1001,2595.438716
16.091687,1001,2611.369181
17.727428,1001,2627.051537
16.069369,1001,2643.446989
13.864505,1001,2661.921518
21.467507,1001,2677.967505
5.51697,489,2686.101303
20.475122,1001,2701.755204
0.911058,479,2710.171693
19.241975,1001,2728.862663
14.069335,1001,2744.523496
14.29346,1001,2760.257748
23.269171,1001,2775.954543
22.877531,1001,2795.094842
19.815126,1001,2811.221799
4.389974,441,2818.458202
19.411586,1001,2833.863053
7.122915,530,2842.033949
13.132676,1001,2860.600357
0.004834,68,2862.045815
13.326609,912,2876.872178
18.979806,1001,2893.402014
23.158542,1001,2909.188059
18.650187,1001,2927.614009
23.800595,1001,2944.462062
19.070773,1001,2960.61755
26.85238,1001,2976.117383
17.953325,1001,2994.901408
23.908664,1001,3011.095333
26.175005,1001,3026.889388
25.952659,1001,3041.936844
22.728744,1001,3060.278451
21.107196,1001,3075.927149
16.08721,1001,3091.75755
23.520739,1001,3107.873174
19.695274,1001,3125.885576
25.188784,1001,3141.870271
23.426562,1001,3158.258708
23.071337,1001,3173.932832
20.509617,1001,3192.165895
22.713326,1001,3208.427425
21.629438,1001,3224.277057
25.273972,1001,3239.572188
23.804409,1001,3257.899105
23.943906,1001,3273.643995
22.247346,1001,3289.889318
10.909153,685,3301.23058
18.544417,1001,3316.319566
21.938042,1001,3334.904597
21.150567,1001,3350.734952
26.301801,1001,3366.751034
22.355842,1001,3382.265165
25.25907,1001,3400.95373
26.817465,1001,3417.120121
26.50249,1001,3433.080953
26.574575,1001,3447.85255
25.864576,1001,3466.637315
24.280795,1001,3482.98315
28.008577,1001,3499.083941
24.269564,1001,3515.497065
23.555697,1001,3534.306372
29.046727,1001,3550.255672
22.358778,1001,3566.307309
28.256821,1001,3581.759894
25.293162,1001,3600.208955
26.491062,1001,3615.974569
28.120783,1001,3631.8355
28.630107,1001,3647.533945
26.621348,1001,3665.721636
28.014762,1001,3681.444364
25.418288,1001,3697.686358
27.755078,1001,3713.390856
25.375768,1001,3732.0174
24.754168,1001,3747.928609
26.453261,1001,3763.930263
27.40885,1001,3779.922692
26.853261,1001,3795.690171
23.994691,1001,3814.405314
30.118912,1001,3830.464356
27.273087,1001,3845.794148
31.298484,1001,3861.036191
26.006147,1001,3879.204188
31.364516,1001,3894.651917
27.868241,1001,3910.445954
27.313125,1001,3925.583224
27.963001,1001,3944.245615
23.906058,1001,3960.515131
29.671283,1001,3976.633143
27.60552,1001,3990.518973
28.422347,1001,4008.501667
17.652313,1001,4023.701497
17.97965,797,4036.64516
27.37965,1001,4051.718751
19.223745,774,4066.869413
27.864399,1001,4081.514712
28.353214,1001,4095.489341
29.917051,1001,4110.252023
27.42187,1001,4128.268228
27.950621,1001,4143.701201
29.223355,1001,4159.701202
28.33544,1001,4175.869113
30.35121,1001,4194.558233
30.671927,1001,4209.802403
25.830613,1001,4225.774103
28.289926,1001,4241.658618
29.381465,1001,4257.142503
2.175574,196,4263.506706
30.706324,1001,4279.239789
27.043052,1001,4295.351217
31.848391,1001,4311.162272
30.411806,1001,4330.148208
29.282828,1001,4346.521461
27.113136,1001,4362.392254
30.572914,1001,4379.039344
