#{"t_start": 1670332135.2368972, "env_id": null}
r,l,t
0,59,5.069961
0,65,7.346805
0.000591,44,8.474407
0.096541,798,20.310313
0,44,21.436025
11.594596,955,35.486163
0.01847,85,37.121331
1.96029,847,49.86543
0.000378,110,51.890746
0,56,53.130297
0,58,54.328295
0.003299,1001,72.181803
0.001861,40,73.149988
0,55,74.436248
0,504,81.827645
0,41,82.840257
0.058962,330,88.124699
0,61,89.457305
0,54,90.673456
0.001269,381,96.365361
0.004503,96,98.076369
0.000154,47,99.18666
0,65,100.451706
0.003123,636,109.73723
0.004157,63,111.013409
0.006657,64,112.32178
0,232,115.959823
3.830734,1001,131.30858
0,44,132.346473
0,41,133.441489
0.713973,325,141.641957
0.006184,52,142.868448
0,304,147.37889
0.000417,261,151.980646
0.009983,73,153.540111
0.001338,40,154.734168
0.008056,814,168.577728
1.578273,869,182.349203
0.008593,53,183.70754
0.0013,54,185.004235
0.006441,739,196.97418
0,49,198.24355
0.002981,96,200.298784
0.001907,44,201.485991
0,49,202.79007
0,59,204.227781
0,146,207.121491
0,65,208.600299
0,90,210.552069
0.001509,67,212.001685
0,395,221.750137
0,89,223.590918
0,54,224.960017
0.000894,40,226.023692
0,437,233.278318
0.00875,834,246.622542
0,53,247.889155
0.006396,257,252.489707
0.009708,895,266.538216
0.003401,67,267.982462
0,76,269.582728
0,44,270.786991
0,55,272.218548
0.011917,75,274.049671
4.205087,491,282.158417
0.010188,43,283.166637
0.001986,52,284.30029
0,60,285.546811
0.004241,114,287.503315
0.000972,50,288.654011
8.8e-05,51,290.061484
0.01006,44,294.336301
0,55,295.622348
0,50,296.848062
0,48,298.037186
0,57,299.383995
0.009218,57,300.783598
0.483066,231,305.055922
0,70,306.701698
0.510229,1001,322.550732
0,55,324.366125
0,44,325.644492
0.000381,44,326.786693
0.065416,97,328.740084
0.00185,463,335.939439
0.002241,75,337.436965
0,1001,353.405853
1.55526,788,368.836857
3.793117,1001,385.682267
0.000377,252,390.233422
0,50,391.482834
1.760402,474,399.213767
0.000185,42,400.32712
0,201,403.926762
0,44,405.077879
0,51,406.417602
0.005586,1001,422.983068
0,179,426.501001
0.006132,56,427.830084
0,51,429.09844
0.011571,57,430.354076
0,57,431.746699
0,63,433.217056
0,56,434.526333
0.002936,78,436.255205
0.014592,58,437.579783
2.360255,245,441.789585
0,50,446.772213
0,94,448.809159
8.241982,1001,464.450977
0,42,465.529454
0.680786,702,476.924268
2.511502,850,490.446298
8.898608,762,502.392584
0,54,503.708923
1.462391,243,507.915022
0.005192,70,509.455589
0.200446,185,512.719905
0.001721,55,514.053873
0,41,519.309777
0,57,520.773766
8.148068,958,536.088971
0,56,537.376761
0,56,538.701609
0.000793,167,541.722198
9.4e-05,51,542.973789
0.00036,60,544.614534
0.005862,170,547.896844
0,50,549.226372
0,61,550.723718
0.058238,230,555.049507
0,51,556.354859
0.003496,58,557.763528
0.005104,51,559.034868
0,174,562.165514
0.003113,44,563.383101
1.247878,152,566.292081
0.00396,49,567.57917
0,67,569.139469
0.001038,90,571.056062
2.319128,613,581.219825
0,59,582.593087
0.007972,611,591.47107
0.309608,1001,608.832721
0.009334,70,610.296703
0,51,611.58615
0.503072,257,615.690681
0.153284,360,620.978541
0.765156,938,634.244921
0,52,635.413218
0,46,636.484823
2.788458,874,649.102081
0.248997,1001,667.826393
0,182,670.776743
0.031131,75,672.318736
0.008795,56,673.708844
0.900937,1001,688.561177
0.000412,781,700.214443
0.006917,56,701.471415
0,40,702.445315
0.05459,912,715.702648
0,58,716.92719
0.003524,56,718.16122
0,71,719.657633
0.899535,259,724.273576
0.004723,50,725.56571
3.691065,979,744.080603
0,264,748.468412
0.030837,79,750.172978
0.609453,402,757.079077
0,521,765.462429
0.095145,78,767.151458
0.774289,1001,783.586224
0.00715,51,784.850125
0.00264,52,786.125718
0,364,792.513396
0.002457,253,797.031002
2.066779,513,808.310344
1.238422,450,815.073031
0,68,816.54399
0,53,817.729843
0.779455,1001,833.025285
0.000157,49,834.395873
0,54,835.906691
4.759288,922,849.623317
0,61,851.06519
0,48,852.321692
0.007783,50,853.527956
0,42,854.574824
1.600653,1001,873.818456
0.768005,325,879.070096
3.489207,822,891.872229
0.082216,416,898.726911
0.131188,638,909.437911
4.326098,732,921.431981
0.009178,46,922.844917
0.190642,89,924.764483
0.002983,58,926.272788
0.154534,437,933.368354
0.812785,816,949.548395
0.011286,51,950.813712
0.017138,193,954.121074
0,40,955.215971
0.007341,79,956.870692
0.000673,61,958.340812
0.008155,56,959.661934
0.191771,548,968.273589
3.007071,1001,983.928147
0.004186,62,985.316495
0,58,986.631892
0,124,988.964521
0,52,990.268071
6.345633,1001,1005.624462
0.125851,285,1010.544114
0,46,1011.741197
0.004115,519,1024.423399
0.00787,56,1025.919296
0,60,1027.535358
3.135381,643,1038.529409
0,51,1039.856828
0,50,1041.179458
0.000392,44,1042.431333
0.868899,210,1046.302961
0.001165,73,1047.955642
5.356568,692,1059.987488
0,60,1061.513707
0.165832,153,1064.472285
4.278434,1001,1081.347512
0.001812,51,1082.61297
0,47,1083.814236
1.974559,656,1098.580081
0.005544,62,1100.137255
0.006052,53,1101.571547
5.850493,854,1115.929572
0.32962,397,1122.732839
0.004416,374,1129.513443
4.889815,1001,1146.154431
0.002721,61,1147.631805
0.000651,53,1148.982354
0.004828,58,1150.515279
0.190703,399,1157.819776
0,79,1159.599827
0.963091,338,1165.587332
0.009347,99,1167.747356
0.002599,56,1169.175209
0,231,1176.971928
1.882469,487,1185.425385
0.014814,131,1187.939734
0.000777,50,1189.211478
2.947599,1001,1206.103634
2.062112,355,1212.837365
1.248925,462,1221.126886
0.947262,178,1224.600008
0.611033,116,1226.966467
2.135798,269,1231.728957
0.00091,51,1233.081191
0.064124,72,1234.732625
8.014732,1001,1255.391893
1.035343,1001,1271.939671
0.003097,57,1273.277075
1.53168,1001,1288.445154
1.0477,321,1293.77618
0.007198,52,1294.983303
0.000694,133,1297.317434
4.743935,792,1310.076926
0.161761,139,1312.725483
1.721725,1001,1331.748418
0.002444,51,1332.922367
0.743887,221,1336.587369
0.015169,418,1343.470978
1.945888,1001,1358.937058
6.09876,1001,1374.596962
0,291,1379.361053
12.073344,1001,1399.47301
0.008658,59,1400.864419
0,61,1402.303581
0,54,1403.572551
4.267555,602,1413.69913
0.00206,60,1414.995742
0.077727,333,1420.406265
6.626346,1001,1435.760875
1.668254,171,1438.715219
6.777686,1001,1454.479136
0.040575,159,1457.409407
7.169511,1001,1475.972813
0,61,1477.35077
3.111066,422,1484.286258
0.010866,211,1487.920568
0.015001,56,1489.252909
7.703267,1001,1504.699591
0.00922,51,1505.886758
7.823797,566,1515.141743
0,46,1516.421121
10.14854,1001,1535.187646
0,59,1536.521797
0.009046,52,1537.780248
9.411679,1001,1553.667957
0.006311,57,1555.085914
10.73617,1001,1571.204322
0.391256,286,1576.078299
0.73806,190,1579.349895
0.003821,57,1580.681681
0.02234,75,1582.252741
0,60,1583.583052
13.383536,1001,1602.551103
0.01236,68,1604.16174
2.560755,520,1612.697894
6.732279,936,1627.53385
6.082327,742,1638.952668
0.312629,369,1645.061607
0.003221,54,1646.308899
11.748361,1001,1662.727294
9.022407,1001,1683.586889
9.66894,1001,1700.880356
0.768599,923,1716.792535
0.023142,68,1718.523671
6.234046,564,1728.25123
0.003804,98,1730.448482
18.009084,1001,1751.756137
6.213287,1001,1768.51873
8.309799,1001,1785.324676
6.51884,1001,1802.42879
12.077605,1001,1823.836602
9.578113,1001,1840.827175
0,62,1842.250272
5.713922,892,1856.054964
0,44,1857.106492
2.298302,1001,1872.66119
0,52,1873.915697
14.792997,1001,1894.160629
19.738281,1001,1911.050621
9.073857,1001,1927.891408
3.166434,1001,1945.448515
0.460492,152,1948.139237
5.939065,1001,1968.020735
9.522191,919,1983.800525
0.020437,185,1987.154606
2.832233,374,1993.642051
6.888263,1001,2010.590544
5.236021,1001,2027.5363
5.69147,489,2039.786953
14.959638,1001,2056.620042
18.438339,1001,2073.740815
9.253679,1001,2090.36538
2.580139,754,2103.196693
5.539409,356,2113.226419
6.465437,368,2120.00498
16.995751,1001,2137.904065
17.055617,1001,2154.596297
9.747734,1001,2171.682071
2.711367,441,2179.790527
7.660978,1001,2201.075575
8.790693,1001,2218.332806
3.019691,625,2229.317406
1.34731,132,2231.933943
4.501654,390,2238.714486
7.377267,826,2252.699225
5.080633,532,2266.201351
4.238453,306,2272.035345
2.591743,269,2277.355148
5.588229,1001,2295.101518
14.415891,1001,2312.342004
15.439429,1001,2329.769173
0.015988,51,2331.209743
0,151,2334.293186
1.651005,352,2344.287191
13.855538,1001,2361.679942
2.416677,179,2365.091517
17.03411,1001,2382.223709
12.511573,1001,2398.888802
3.652139,458,2406.703816
10.662874,1001,2428.280018
3.055991,333,2434.835065
7.380602,911,2450.813524
8.266407,1001,2467.478014
7.322714,501,2475.844116
19.444903,1001,2495.562454
4.091375,784,2508.151967
16.802892,1001,2525.145538
16.929654,1001,2541.555071
7.917815,909,2556.756177
17.358333,1001,2577.791647
19.668933,1001,2594.813531
15.537878,1001,2612.484557
13.076505,1001,2628.823843
6.164064,478,2640.194411
0.013681,68,2641.760888
15.090526,1001,2658.466168
0.006768,66,2660.1723
18.345245,1001,2677.034675
16.131925,1001,2693.27643
15.042537,1001,2713.328274
8.245545,393,2720.025331
0.742282,341,2726.096511
0.007373,54,2727.408501
22.610631,1001,2744.294987
11.663515,958,2760.196925
7.70092,1001,2782.523379
14.93084,1001,2799.240715
5.035317,567,2809.233886
0.494531,307,2815.139488
21.772989,953,2831.284205
13.921777,1001,2848.607121
24.361572,1001,2868.576997
11.782862,1001,2885.961784
7.165752,1001,2903.084401
19.292639,1001,2920.565486
11.941016,1001,2940.319203
12.789963,1001,2957.383361
3.18209,328,2962.921153
21.172235,1001,2979.653578
20.277399,1001,2995.957877
22.276738,1001,3017.740538
18.066421,1001,3035.169091
22.073875,1001,3053.272611
23.122698,1001,3070.296027
17.085476,1001,3091.679869
26.505837,1001,3108.96581
14.07454,1001,3125.855927
24.305016,1001,3142.830726
14.075932,620,3156.24703
17.607251,1001,3172.477813
13.814812,584,3182.152411
7.432826,558,3191.305459
21.632696,1001,3206.948669
22.976684,1001,3226.523488
21.345582,1001,3242.099071
23.947333,1001,3258.57533
26.578216,1001,3275.089645
26.187207,1001,3296.05915
26.335005,1001,3314.136095
24.002537,1001,3331.876075
24.645047,1001,3349.003802
24.274598,1001,3371.440824
17.533845,716,3385.276353
22.188018,1001,3403.988679
14.978048,571,3413.916654
25.138912,1001,3429.625989
11.746974,615,3442.741753
21.854519,1001,3457.944654
28.343383,1001,3481.310217
23.216409,1001,3509.628785
26.166637,1001,3538.734436
26.307608,1001,3572.707402
23.857845,1001,3603.484043
28.609617,1001,3632.391422
25.412693,1001,3660.541921
26.340082,1001,3693.606918
24.347544,1001,3722.28653
22.706821,1001,3751.485509
28.562305,1001,3781.216357
26.385599,1001,3813.968676
26.456701,1001,3841.624397
25.682018,1001,3869.375592
24.570789,1001,3897.998582
28.938424,1001,3931.347502
25.634126,1001,3959.734738
26.984743,1001,3987.762116
27.405341,1001,4016.400782
23.832436,1001,4049.772605
27.588286,1001,4078.450161
24.109734,1001,4106.22445
19.299778,1001,4134.334494
22.376806,1001,4167.446654
28.628777,1001,4195.912417
24.086719,1001,4228.455552
26.225191,1001,4256.870358
28.699842,1001,4290.610746
25.033805,1001,4318.747453
30.062782,1001,4346.391956
27.855078,1001,4373.30674
25.531105,1001,4406.477548
28.602139,1001,4434.030854
30.538306,1001,4461.719152
24.547061,1001,4488.742938
28.754898,1001,4521.521798
4.555692,483,4535.132495
30.533918,1001,4562.914444
30.076571,1001,4590.342362
27.059669,1001,4617.622038
16.776545,681,4641.416503
17.489043,666,4660.045026
17.109133,1001,4688.287586
15.894704,729,4708.693231
29.212824,1001,4736.42253
3.79233,215,4742.914163
30.432918,1001,4775.448218
28.452284,1001,4803.886678
31.334844,1001,4832.277352
28.721965,1001,4860.275369
29.838663,1001,4893.756601
29.488723,1001,4939.847533
23.724608,842,4980.411062
25.615209,1001,5028.192965
24.917181,1001,5068.367875
27.50261,1001,5097.007112
29.6605,1001,5126.244382
28.266012,1001,5154.635841
29.269685,1001,5188.646565
7.257433,301,5197.891317
11.579894,503,5211.183728
29.974382,1001,5227.49971
31.153589,1001,5244.229692
32.312042,1001,5264.877597
28.935557,1001,5281.434434
30.389255,1001,5298.314535
29.585343,1001,5315.539228
27.791088,1001,5332.2536
29.448088,1001,5352.775892
11.258957,477,5361.203607
25.489482,1001,5377.345172
30.306167,1001,5393.481487
27.421549,1001,5413.973618
30.74233,1001,5430.171219
30.151491,1001,5446.161689
29.275064,1001,5462.664113
32.270973,1001,5482.570395
32.911113,1001,5498.795493
27.220916,1001,5515.296898
30.906959,1001,5531.379332
29.992656,1001,5551.926312
28.55063,1001,5568.232569
28.614227,1001,5584.470366
31.858359,1001,5600.461978
30.043735,1001,5620.147872
33.204119,1001,5636.417909
32.175452,1001,5653.14089
28.715046,1001,5669.750915
30.933799,1001,5689.588827
31.178493,1001,5705.583555
31.393687,1001,5722.135667
21.639072,759,5734.710768
27.964028,1001,5751.004971
31.202807,1001,5771.012213
31.021556,1001,5787.434816
31.403906,1001,5803.714219
31.995832,1001,5820.143107
28.42009,1001,5840.802064
30.900996,1001,5857.590914
31.413572,1001,5873.914033
29.217244,1001,5890.814258
31.204947,1001,5911.130628
11.824308,535,5920.506334
31.278649,1001,5937.292266
32.466126,1001,5953.564495
32.880239,1001,5970.170089
24.692331,1001,5990.228912
31.891872,1001,6007.068526
32.919799,1001,6023.801002
30.517274,1001,6040.656065
32.50846,1001,6061.401194
32.994718,1001,6078.563575
3.264763,329,6084.128352
32.478442,1001,6100.656752
29.764816,1001,6120.828076
31.216201,1001,6137.720486
32.241012,1001,6154.564243
32.936175,1001,6171.310539
32.189048,1001,6187.687551
29.525476,1001,6208.46393
34.056162,1001,6225.071546
34.517958,1001,6241.799106
31.505493,1001,6258.326362
7.134911,455,6270.031397
31.610969,1001,6286.392152
32.760972,1001,6303.403678
29.393086,1001,6320.202899
34.598558,1001,6340.228829
26.77715,1001,6357.019055
31.778131,1001,6373.751601
30.449998,1001,6390.092271
33.959821,1001,6410.701695
32.614666,1001,6427.601665
32.45653,1001,6444.80827
31.627051,1001,6461.643286
31.141922,1001,6482.345738
31.466481,1001,6498.917394
33.263397,1001,6515.83163
32.279264,1001,6532.574811
32.052982,1001,6549.126938
31.370907,1001,6569.611131
32.278587,1001,6586.487668
34.444841,1001,6603.574228
28.598735,1001,6620.201549
32.303409,1001,6640.474416
24.520319,1001,6656.630316
34.131122,1001,6673.700432
34.050929,1001,6690.134521
33.682305,1001,6710.544457
30.222097,1001,6727.321529
33.668321,1001,6743.884058
34.242724,1001,6760.462925
31.675153,1001,6781.085842
32.51037,1001,6797.467153
33.76533,1001,6814.11107
34.296909,1001,6830.633828
34.993138,1001,6850.478841
31.759978,1001,6867.741746
33.348671,1001,6884.153142
32.646429,1001,6900.696481
34.311624,1001,6920.758377
32.495943,1001,6938.222182
27.796144,1001,6954.547876
33.210728,1001,6971.017183
4.040428,247,6975.498456
33.627926,1001,6995.862021
33.461831,1001,7012.173978
33.958046,1001,7028.759973
33.072681,1001,7045.230786
24.248548,1001,7065.553942
34.264233,1001,7082.681711
31.455436,1001,7099.402281
29.275231,1001,7115.58882
32.227539,1001,7136.587446
32.784034,1001,7153.21873
30.857405,1001,7169.972745
32.487281,1001,7186.371858
34.687029,1001,7206.410075
33.045011,1001,7223.116253
34.239555,1001,7239.6208
32.51441,1001,7256.046972
33.393927,1001,7275.924556
34.265949,1001,7292.543796
34.66729,1001,7308.925681
34.570425,1001,7325.915462
26.321846,1001,7346.038702
20.302233,726,7358.440064
32.630906,1001,7374.733153
33.947131,1001,7391.192713
32.829334,1001,7408.258895
34.535878,1001,7428.47362
31.332042,1001,7445.268547
34.815343,1001,7461.965904
34.439681,1001,7478.181422
32.9456,1001,7498.477648
34.112719,1001,7514.937632
34.400173,1001,7531.725254
35.496778,1001,7547.77329
32.95573,1001,7568.209109
32.343958,1001,7585.244588
27.285588,1001,7601.699718
33.374261,1001,7618.047716
34.293767,1001,7638.429125
18.768725,1001,7655.334448
34.887555,1001,7671.492206
33.325754,1001,7688.002099
35.379431,1001,7707.887195
35.239175,1001,7724.9672
32.969341,1001,7741.424615
32.699572,1001,7758.190001
34.613107,1001,7777.16771
33.272099,1001,7793.067791
23.13755,1001,7808.767804
35.076142,1001,7824.830944
33.291482,1001,7843.563592
33.756561,1001,7859.541491
35.273623,1001,7875.198687
33.088689,1001,7890.91479
8.635288,401,7897.439068
34.105259,1001,7916.356877
35.415327,1001,7931.725014
32.880199,1001,7947.25312
31.681482,1001,7962.486692
29.829618,1001,7981.644722
36.163065,1001,7997.268462
35.562885,1001,8012.858797
27.696385,1001,8028.310989
33.037379,1001,8046.985947
33.719955,1001,8062.479847
36.317072,1001,8078.137827
35.119348,1001,8093.701212
33.823474,1001,8112.289476
35.158561,1001,8128.139248
34.963105,1001,8143.784884
35.098051,1001,8159.252571
35.502745,1001,8177.940944
34.879408,1001,8193.60831
35.464304,1001,8209.152176
33.946833,1001,8224.558876
34.49421,1001,8243.10031
35.60358,1001,8258.918328
35.892631,1001,8274.503598
35.953303,1001,8290.203898
37.188048,1001,8309.343762
34.344803,1001,8324.914819
33.843461,1001,8340.560667
32.464682,1001,8356.251917
35.507485,1001,8371.572959
35.215582,1001,8390.727221
35.26468,1001,8406.610399
35.666008,1001,8422.560008
35.589477,1001,8438.457821
36.40272,1001,8456.702453
35.061776,1001,8472.553978
36.334738,1001,8488.090735
5.782173,287,8492.84588
35.299274,1001,8511.324758
36.600427,1001,8526.502539
35.43839,1001,8542.274616
33.745413,1001,8557.484372
34.446419,1001,8573.198979
34.666313,1001,8591.038771
31.623476,1001,8606.685444
35.216267,1001,8622.26371
35.143982,1001,8638.254825
34.600825,1001,8656.635686
34.264552,1001,8672.22604
36.254941,1001,8687.76626
35.677158,1001,8703.167927
37.348612,1001,8720.832423
36.162813,1001,8735.956475
35.098655,1001,8751.037703
34.580174,1001,8766.820356
36.833496,1001,8785.001409
33.620224,1001,8800.84692
36.367826,1001,8816.627651
34.519825,1001,8832.062065
35.484099,1001,8850.184209
34.95191,1001,8865.84112
10.50344,370,8872.024863
37.26699,1001,8887.282671
37.1407,1001,8902.917381
30.940239,1001,8920.718249
29.785534,1001,8935.840608
35.665,1001,8951.467689
35.227542,1001,8966.548529
36.393129,1001,8984.199787
36.583732,1001,8999.910865
35.558783,1001,9015.487256
37.099538,1001,9031.082897
34.730629,1001,9049.199715
36.012483,1001,9064.816385
36.6579,1001,9080.260649
35.765666,1001,9096.079741
36.982157,1001,9114.588942
36.741606,1001,9130.617974
35.967432,1001,9146.297776
37.165076,1001,9161.55368
36.871732,1001,9180.156014
35.813823,1001,9195.486866
36.163119,1001,9210.424957
36.171726,1001,9226.11447
37.052608,1001,9244.405206
35.417413,1001,9259.60639
36.140995,1001,9274.958677
37.502343,1001,9290.6341
37.234674,1001,9309.259924
32.699384,1001,9324.655216
36.918064,1001,9340.145366
34.933568,1001,9355.200978
1.784869,233,9359.068568
34.445539,1001,9377.105082
36.430411,1001,9392.533237
36.434679,1001,9408.049799
33.834591,1001,9423.529074
37.670047,1001,9442.219897
35.254915,1001,9457.57502
37.535693,1001,9472.997763
34.489931,1001,9488.776626
36.269311,1001,9506.918745
35.144355,1001,9522.767859
34.405508,1001,9538.255863
35.679608,1001,9553.692944
11.872805,416,9560.590932
37.177211,1001,9578.702544
35.597772,1001,9593.712392
33.148806,1001,9609.848953
34.440388,1001,9625.512739
36.337552,1001,9643.973809
36.222638,1001,9659.556326
36.43444,1001,9674.852769
36.574013,1001,9690.050303
0.696532,136,9692.504287
37.105572,1001,9711.323759
37.170121,1001,9727.44379
36.026579,1001,9742.594019
34.964577,1001,9758.358823
38.729698,1001,9776.903867
37.870049,1001,9792.484874
35.253942,1001,9808.130002
37.366642,1001,9823.661813
35.989963,1001,9842.338974
37.193728,1001,9857.748494
36.101282,1001,9873.318676
35.388481,1001,9888.915651
36.354528,1001,9907.610631
36.677421,1001,9922.874112
35.582699,1001,9938.42352
35.270596,1001,9954.132706
29.248922,1001,9972.504411
36.979082,1001,9987.89991
36.443103,1001,10003.56445
34.927677,1001,10018.672175
30.857586,1001,10037.31338
35.125985,1001,10052.962443
30.685156,1001,10068.611378
38.106934,1001,10084.570503
34.531816,1001,10104.016663
37.047184,1001,10118.951419
37.600055,1001,10134.895565
37.460727,1001,10150.827945
36.421968,1001,10165.821068
35.196471,1001,10184.905224
37.52018,1001,10200.723241
33.124261,1001,10216.225326
35.065234,1001,10232.055493
36.460206,1001,10251.010933
35.403339,1001,10266.445508
37.523573,1001,10282.079923
36.501269,1001,10297.271239
30.529694,1001,10315.962692
34.212695,1001,10331.746546
37.66221,1001,10347.400985
37.302637,1001,10362.851322
37.349297,1001,10381.410272
35.993838,1001,10396.910561
37.428765,1001,10411.876905
37.082414,1001,10427.696956
35.416865,1001,10446.519892
36.76525,1001,10461.887292
36.028675,1001,10477.748051
35.827999,1001,10493.34365
36.396387,1001,10510.993783
38.014201,1001,10526.662706
37.331212,1001,10542.193969
35.514634,1001,10557.327616
37.85284,1001,10576.062175
36.63802,1001,10591.731734
35.040117,1001,10607.415597
36.054586,1001,10622.877773
36.048792,1001,10642.048098
37.572096,1001,10657.795653
37.792473,1001,10673.273192
37.834605,1001,10688.46349
33.737004,1001,10706.992449
38.402258,1001,10722.3981
38.228305,1001,10737.658413
36.820018,1001,10753.356979
37.601181,1001,10772.26161
36.135901,1001,10787.516855
31.827273,1001,10803.643723
37.16947,1001,10819.487533
36.177335,1001,10838.025041
37.565858,1001,10853.092793
37.458832,1001,10868.770665
38.213074,1001,10884.279456
38.802886,1001,10899.839974
35.186375,1001,10918.294334
36.072173,1001,10933.7162
37.774552,1001,10949.15457
38.019249,1001,10964.980627
38.830624,1001,10983.628952
36.966102,1001,10999.456171
38.490815,1001,11015.174796
37.141266,1001,11030.577544
37.954332,1001,11049.219933
37.703075,1001,11064.996741
37.356796,1001,11080.561373
38.601951,1001,11096.498552
36.296429,1001,11114.145483
34.90776,1001,11129.629349
36.195573,1001,11144.011382
