#{"t_start": 1670330980.7083216, "env_id": null}
r,l,t
0,1001,7.929498
0.012805,1001,12.91812
0,604,16.301451
0,313,18.295723
0,44,18.872667
0,108,19.80361
0,240,21.274469
0,1001,29.616971
0.010182,58,30.222048
0.034545,326,32.226289
0.000463,794,36.904247
0.006571,782,41.543554
0,1001,47.446937
0,137,48.500443
0,533,51.475493
0.000467,889,59.657773
0.024698,329,61.938254
0,132,63.113803
0.044238,298,64.857806
0,387,67.48202
0,211,68.898512
0,233,70.457108
0,136,71.535731
0,179,72.92882
0.016796,190,74.403829
0.002544,485,77.17163
0,470,80.20598
0,446,85.566429
0.062937,177,86.804607
0,307,89.22843
0.047965,63,90.099278
0,937,95.714655
0.022703,356,98.093039
0.00048,120,99.097938
0.097284,809,103.819118
0,101,104.814118
0,514,108.032019
0.045143,1001,116.251992
0,516,119.579527
0,600,123.380729
0,838,128.324744
0,1001,134.173498
0.002186,1001,142.572998
0,83,143.390695
0.016677,1001,149.154072
0.090499,861,154.170816
0.003309,409,156.782534
0,274,158.657614
0,511,161.820565
0,304,163.903208
0.004514,562,169.900986
0,586,173.069698
0.004871,512,176.070591
0.001741,503,179.226086
0.000954,125,180.299205
0,102,181.242131
0.099877,184,182.664531
0,85,183.422523
0,723,187.93606
4.9e-05,574,191.533527
0,626,198.233385
0,1001,203.466414
0.006894,1001,209.624719
0.008234,100,210.380157
0,312,212.150279
0.002537,345,214.071505
0.003105,60,214.701183
0.000273,274,216.533339
0,200,218.060278
0.007979,643,221.857437
0.017012,1001,229.849077
0.008764,103,230.813257
0.02393,331,233.029775
0,1001,239.124527
0,308,241.202001
0.017507,441,244.087145
0.00843,1001,249.659482
0.004482,1001,257.641588
0,534,260.91039
0,1001,266.338889
0,98,267.262329
0.010718,183,268.676549
0,86,269.455137
0.001619,629,273.101774
0,615,279.779319
0.005798,179,281.095535
0.003856,1001,286.636948
0.016807,669,290.521474
0,233,291.940176
0,439,294.465412
0,1001,300.166715
0,612,306.974648
0,79,307.662274
0.008387,66,308.313025
0,87,309.108182
0,271,310.973047
0.005216,517,314.117759
0,89,314.937723
0.009721,86,315.803476
0,705,319.619021
0,1001,325.580066
0.014188,436,328.25245
0.009416,535,330.985061
0,495,336.74038
0,517,339.699985
0,1001,345.450475
0.03109,1001,350.857271
0.002429,705,355.064765
0,427,357.741943
0.000282,1001,365.82154
0,361,367.94378
0.018612,180,369.093309
0.009554,1001,374.776429
0,1001,380.506528
0.0109,1001,388.792001
0,131,389.764677
0,266,391.530781
0.005967,849,396.462244
0,712,400.657198
0,461,403.562119
0.008803,365,406.049357
0.012061,196,407.476812
0.001237,811,414.738754
0.020255,523,417.676562
0,50,418.341069
0.027883,1001,424.178063
0.007314,1001,429.90246
0.010402,427,432.563421
0.130397,400,435.083333
0.009399,1001,443.412985
0,266,445.126168
0,39,445.689085
0.000672,391,447.809044
0,195,449.000719
0.005715,92,449.780505
0,390,452.183737
0.003804,1001,457.817889
0.002482,223,459.33338
0.011652,132,460.380228
0.00723,499,463.412844
0,454,466.315484
0.01056,177,470.305568
0.003555,738,474.220382
0.006321,343,476.367886
0,398,478.723753
0.002025,447,481.528519
0,211,483.049546
0,1001,488.129103
0.051708,1001,496.055719
0,71,496.721679
0,572,500.202031
0.006524,382,502.642521
0.006689,513,505.909927
0.024519,598,509.445543
0,368,511.674477
0.032526,524,514.903764
0,146,516.031433
0,659,520.486551
0,141,525.593004
0,542,528.695751
0.092342,331,530.842595
0,231,532.406831
0.002754,1001,538.157917
0.038869,853,543.285825
0,94,544.17191
0.008413,255,546.035578
0,336,548.181068
0,161,549.426071
0,231,550.994315
0,689,557.525856
0,146,558.676656
0.076208,218,560.28476
0.002393,286,562.299738
0,539,565.719561
0,488,568.484143
0.001349,65,569.216496
0,311,571.271648
0.00017,339,573.535622
0.024988,168,574.796554
0.012152,278,576.633743
0,167,578.102509
0,640,584.985181
0,251,586.696584
0,140,587.905609
0,226,589.358159
0,278,591.074547
0.036836,106,591.98607
0.022211,81,592.748978
0.004015,321,594.966088
0,210,596.58706
0.065437,373,599.064307
0.004737,1001,605.064421
0.005783,496,607.910403
0,238,609.501932
0,348,614.719231
0,206,616.079647
0,424,618.673121
0.014911,113,619.68746
0,794,624.591332
0.005943,133,625.67864
0.01789,1001,631.727558
0,482,634.948389
0.019767,1001,643.764495
0.193992,53,644.378792
0,1001,650.245205
0,154,651.512949
0.006407,456,654.879283
0.000588,800,659.96534
0,195,661.430242
0.001633,294,663.373773
0.011913,194,664.930791
0.011437,365,667.454725
0.001838,37,668.039622
0.008774,217,669.635309
0.045356,106,670.574705
0,419,675.88401
0.003812,365,678.304568
0.039172,285,680.183426
0.000963,216,681.787355
0,122,682.959208
0,1001,689.001443
0,322,691.249596
0,512,694.279582
0.002139,197,695.687879
0.006305,1001,704.495933
0.000422,88,705.322032
0.001189,534,708.577704
0.015114,173,709.966955
0.003006,292,712.479798
0,65,713.22473
0,163,714.596034
0,167,715.909542
0,317,718.003826
0.003109,224,719.608217
0,304,721.618773
0,124,722.785213
0,132,723.972216
0,68,724.77571
0.001249,1001,730.813193
0.009719,387,736.269026
0.071767,933,741.872915
0,31,742.454891
0.003166,120,743.486429
0.008072,111,744.529181
0.014494,466,747.437642
0.060483,375,749.903692
0.002922,192,751.3558
0.015617,336,753.86714
0,21,754.429836
0,253,756.155196
0.004079,942,762.096541
0.003493,426,767.674808
0.002547,180,769.099773
0,106,770.139383
0.03057,101,771.130061
0,955,777.264194
0.034997,575,780.84587
0.019611,299,782.884546
0.004622,226,784.685375
0,398,787.489902
0,459,790.374156
0.012747,539,796.515819
0,248,798.249409
0,144,799.37437
0,72,800.178384
0,803,804.940167
0,266,806.698123
0,175,808.011266
0.112255,512,811.194502
0,125,812.32868
0,167,813.601698
0,409,816.212776
0,216,817.807389
0.053827,181,819.17212
0.032295,1001,827.802709
0,1001,833.781022
0.002133,319,836.050381
0,88,836.924357
0,455,840.176499
0,178,841.597123
0,209,843.152916
0,643,847.107778
0.001294,50,847.847198
0.093125,712,851.9889
0,203,856.596913
0.012786,267,858.4673
0.000111,175,859.79513
0.052984,179,861.121147
0.024287,62,861.861821
0,136,863.078025
0.002841,196,864.645962
0.004058,1001,870.519841
0.001055,114,871.726456
0,76,872.586395
0,80,873.471767
0,271,875.686201
0.015816,304,877.805217
0,439,880.755078
0,466,883.840209
0,197,885.379585
0.001186,389,890.758723
0.013414,145,891.913559
0,800,896.563634
0.002478,40,897.142931
0.010917,513,900.348811
0,430,903.210131
0.001543,117,904.426629
0,700,908.580793
0,983,914.222515
0.02235,242,918.599542
0.002633,761,923.006713
0,449,925.755819
0,242,927.407436
0,207,928.834151
0,278,930.664776
0.009157,41,931.21314
0,215,932.823961
0,276,934.745091
0,460,937.591722
0,149,938.77743
0.001355,87,939.685562
0.000178,394,942.152648
0.010148,39,942.809269
0,145,943.9705
0,482,949.799853
0,483,952.856264
0.047164,1001,958.447981
0,195,959.837054
0,408,962.566317
0.024746,318,964.735654
0,309,966.756624
0,90,967.670331
0,407,970.263631
0,736,977.477614
0,753,982.199436
0,90,983.062438
0,457,985.908326
0,941,991.772904
0,351,993.993268
0,194,995.412172
0.062638,297,997.432222
0.115531,265,999.245594
0,595,1005.637105
0,938,1011.048782
0,284,1013.087023
0,215,1014.644249
0,570,1017.975754
0,81,1018.785506
0.001512,50,1019.401015
0,823,1024.143852
0.033897,690,1028.198463
0,163,1029.462246
0.04735,307,1034.40167
0.006894,1001,1040.287358
0,573,1043.730157
0.046089,164,1045.078228
0,120,1046.152684
0,135,1047.285311
0,1001,1053.30538
0.000466,465,1056.283679
0,885,1064.382352
0.011508,1001,1070.281022
0,217,1071.984284
0,615,1075.75054
0,908,1081.47343
0.078192,181,1082.915743
0.000305,474,1086.037309
0.011941,47,1086.809644
0.002202,842,1094.765599
0.02431,867,1100.203805
0,499,1103.374263
0,122,1104.612761
0,141,1105.841924
0.028539,236,1107.562461
0,767,1112.168031
0,418,1115.013555
0,837,1122.947474
0.036427,183,1124.312762
0.038909,1001,1130.044961
0,394,1132.559777
0,306,1134.677443
0.258766,634,1138.568624
0.000288,93,1139.508137
0,175,1140.840123
0.013818,125,1141.92355
0,209,1143.434651
0.010405,368,1145.913109
0.009136,545,1152.533257
0,601,1156.694098
0,47,1157.963112
0.001404,242,1160.411999
0.048165,258,1162.783411
0,257,1164.899186
0,387,1167.658665
0,252,1169.598715
0,1001,1176.207824
0.155669,1001,1185.934865
0.005913,216,1187.665231
0.000256,154,1189.002909
0,214,1190.77867
0.018725,366,1193.525729
0.00919,38,1194.263415
0.048733,116,1195.541213
0,267,1197.591037
0,337,1200.100736
0.014383,275,1202.445057
0.080517,350,1204.836826
0.003186,415,1207.692599
0,149,1209.02302
0,284,1211.114756
0.02446,222,1212.845279
0.003016,71,1213.756485
0.03071,37,1214.405622
0,334,1216.864963
0,65,1220.870892
0,123,1222.059694
0.004945,323,1224.563734
0.185776,827,1229.92539
0.002452,111,1231.003601
0.002664,186,1232.483812
0.02541,89,1233.428417
0.034027,141,1234.676631
0,196,1236.196522
0,167,1237.718026
0,255,1239.933796
0.013468,210,1241.584188
0,17,1242.152439
0,438,1245.177256
0.032583,380,1247.936198
0.018893,936,1256.648945
0,185,1258.28304
0,357,1260.841611
0,63,1261.680177
0,263,1263.73631
0.005241,677,1268.112958
0,142,1269.331711
0.011579,487,1272.559446
0.001679,179,1274.057068
0,66,1274.942907
0,433,1277.977183
0.005686,616,1282.27191
0,142,1283.490466
0.004408,911,1293.302617
0.001103,432,1296.561796
0,489,1300.051822
0.00357,150,1301.296138
0.025774,792,1307.046509
0,648,1312.079399
0,286,1314.535927
0.011387,252,1316.740343
0.052852,139,1318.150063
0,306,1324.267423
0,99,1325.408644
0.006425,118,1326.666496
0.026118,641,1331.279867
0.004045,540,1335.246507
0,170,1336.863417
0.001939,105,1338.007778
0,624,1342.55912
0.034292,297,1345.006763
0.001418,504,1348.758556
0.001285,298,1351.332469
0,681,1359.84089
0.016683,238,1361.966289
0,475,1365.407207
0,724,1370.566516
0.035067,94,1371.632392
0.010842,105,1372.793029
0.045285,131,1374.044413
0.05645,394,1377.013068
0.064586,83,1378.000213
0,169,1379.631725
0.003941,970,1386.479625
0.012939,309,1388.93987
0,82,1389.987472
0.000201,527,1397.218507
0.119011,131,1398.534598
0,496,1402.147767
0.055852,491,1405.972375
0,1001,1412.829684
0.034144,914,1419.151584
0.017301,1001,1429.697409
0.001735,88,1430.901709
0.02175,327,1433.532379
0,55,1434.385095
0,271,1436.494796
0.003161,1001,1442.709905
0.056114,718,1447.814394
0,51,1448.594217
0.003934,1001,1455.493626
0,29,1456.105881
0.007656,219,1457.997675
0,161,1463.049587
0.010191,1001,1469.968819
0.045433,535,1473.781765
0,211,1475.667809
0,582,1480.647535
0,233,1482.609561
0,165,1484.117887
0,115,1485.233123
0.006853,148,1486.576139
0.004083,759,1491.7696
0.052382,569,1499.466105
0,149,1501.018069
0,940,1507.607475
0,299,1510.081092
0.006907,229,1511.973079
0.106265,580,1516.030263
0.020036,479,1519.55129
0,668,1524.558917
0,697,1533.509334
0.00025,342,1536.223063
0,248,1538.414002
0,154,1539.881548
0.03268,147,1541.312672
0.05734,1001,1548.388451
0,116,1549.677475
0,190,1551.429447
0.001619,101,1552.649661
0,340,1555.425766
0,526,1559.453807
0,181,1561.176562
0,448,1564.570136
0,72,1569.061256
0.018237,250,1571.120334
0.000844,101,1572.279398
0.016094,730,1577.778804
0.000139,167,1579.581487
0.007566,689,1584.499804
0.001568,664,1589.273393
0.003387,1001,1596.052576
0.00495,598,1604.281671
0,332,1606.822777
0.001467,84,1607.827714
0,276,1610.017282
0,45,1610.74022
0,80,1611.738555
0.005411,428,1614.952319
0,101,1616.03261
0.029893,380,1618.846581
0.082826,624,1623.161383
0,179,1624.80502
0.061881,1001,1631.688417
0,508,1638.819103
0.015878,522,1642.604073
0.001575,210,1644.441993
0.163971,1001,1651.310911
0,418,1654.4109
0,151,1655.862362
0,335,1658.481762
0.029136,304,1660.932355
0.018622,331,1663.546471
0,252,1665.647374
0.013607,65,1666.519526
0.045677,723,1676.046664
0.02085,180,1677.654354
0.011397,120,1678.959829
0.047363,473,1682.516825
0.103344,209,1684.450863
0,225,1686.338044
0.00157,806,1691.828181
0.056892,220,1693.720012
0.019107,62,1694.542984
0.055096,124,1695.745877
0.036386,260,1698.010639
0.064648,241,1700.2605
0.015356,149,1701.76545
0,953,1711.991397
0.017515,482,1715.52501
0.003616,37,1716.236774
0.011495,49,1717.029643
0,438,1720.395006
0,308,1722.957629
0,176,1724.677144
0,1001,1731.587638
0,685,1736.624852
0,345,1739.157684
0.00243,128,1740.282537
0,33,1740.841278
0,512,1747.387192
0.000412,290,1749.632699
0.043608,587,1753.547143
0,271,1755.575876
0.002527,49,1756.315406
0,438,1759.227739
0,399,1761.876375
0,1001,1768.355134
0,1001,1777.767391
0.012261,503,1781.023082
0,231,1782.813088
0,246,1784.754383
0,343,1787.233513
0.01781,324,1789.468818
0.005115,214,1791.204516
0.013203,1001,1797.714263
0.016013,1001,1806.802143
0,732,1812.119479
0.003824,607,1816.728052
0.01119,82,1817.663255
0,137,1818.968149
0.022672,468,1822.429988
0,1001,1829.276442
0.064977,704,1833.88591
0.004172,505,1840.720451
0,107,1841.871619
0,938,1848.162318
0,1001,1854.615116
0.002871,201,1856.363245
0.016154,610,1860.461575
0.007458,163,1861.848504
0.006285,308,1864.13288
0,508,1867.437995
0,62,1868.23466
0,903,1877.794522
0.015983,1001,1885.114226
0,788,1890.498717
0,76,1891.474989
0,469,1895.086756
0.013248,421,1898.447464
0,330,1901.019166
0,190,1906.155258
0.10157,696,1911.255252
0.080538,120,1912.508012
0.001128,318,1914.996768
0.0177,174,1916.546706
0,209,1918.30613
0,53,1919.136294
0.010404,770,1924.692546
0.030958,174,1926.421008
0.11805,807,1932.281733
0,713,1937.321469
0,365,1943.544764
0,116,1944.81962
0.006617,114,1946.078376
0,418,1949.141491
0.00487,126,1950.622698
0,393,1953.717387
0.012364,151,1955.227931
0,207,1957.21259
0,834,1962.847379
0.001985,368,1965.506046
0,54,1966.264
0.012196,76,1967.255825
0,122,1968.466733
0,111,1969.555826
0,51,1970.375572
0,1001,1980.322289
0,129,1981.491536
0,651,1986.094278
0.028564,383,1989.175055
0.282602,368,1992.508273
0.033099,344,1995.259537
0.044219,417,1998.245516
0.002616,226,1999.942849
0.005676,204,2001.589525
0.001482,254,2003.482001
0.000589,425,2006.504013
0,129,2007.860205
0.080504,792,2016.103082
0.034885,75,2017.056171
0.102529,345,2019.854504
0.069197,36,2020.646934
0,259,2023.27944
0.018611,55,2024.258795
0,868,2030.585649
0.020396,714,2035.497754
0.012665,86,2036.554552
0.008606,52,2037.363818
0.002569,316,2039.887436
0,82,2040.912696
0,162,2042.474239
0,172,2044.152721
0.00161,180,2045.926041
0.007403,941,2055.475014
0.001859,194,2057.313177
0.011772,225,2059.221969
0,497,2063.167305
0,26,2063.870365
0.001899,191,2065.752766
0.010402,89,2066.771836
0.008425,273,2068.941877
0.015073,835,2074.712047
0.250142,419,2078.584949
0,1001,2088.776586
0.056358,1001,2095.67519
0.012199,119,2097.029775
0.041385,153,2098.584595
0,600,2102.833957
0,281,2105.255245
0.031853,285,2107.632901
0.046957,299,2110.070955
0.059085,1001,2120.402681
0.004928,705,2125.194798
0,514,2128.782414
0.079544,648,2133.184169
0.038568,632,2137.688802
0,22,2138.249019
0.112736,254,2140.19763
0,119,2141.433434
0.070047,752,2146.744278
0.003079,54,2147.567202
0,82,2148.553169
0.036267,453,2155.141225
0.096454,1001,2162.208747
0,199,2163.993629
0,213,2165.769057
0,470,2169.683501
0.02364,309,2172.352489
0.043706,251,2174.53733
0,1001,2182.064934
0.022187,534,2189.584617
0,231,2191.583876
