#{"t_start": 1670331500.1965387, "env_id": null}
r,l,t
0,126,5.273063
0.005844,42,6.294025
0.00104,218,9.412246
0,46,10.348416
0.001054,53,11.395434
0.004656,93,12.840443
0.007544,40,13.730118
0,50,14.740453
0.001139,56,15.790353
0.000509,59,16.866498
0.005233,44,17.744405
0,41,18.656413
0.007325,48,19.686814
0,46,20.66226
0,366,25.551581
0.003076,71,26.832351
0,78,28.15209
0.003057,63,29.319416
0.246919,204,32.11732
0,43,32.998986
0.134255,440,38.489728
0,59,39.556391
0,72,40.834535
0.003046,45,41.786444
0,54,42.868979
0,49,43.896051
0,208,46.907987
0,40,47.755379
4.060964,1001,60.550235
0,175,63.085659
0,59,64.290339
0,50,65.309633
2.181439,422,73.719454
0,57,74.796811
0,691,83.978029
0,93,85.563725
0,81,87.094859
0.004216,136,89.05801
0.003391,48,89.998713
0.007951,189,93.063339
2.514625,1001,105.738474
0,47,106.658237
2.044044,354,111.628321
0,53,112.686486
0,69,114.033626
0,45,115.014763
0.28977,480,121.470458
0,69,122.776234
0.00819,48,123.674146
0,48,124.626119
0.137536,1001,141.258483
0.009934,43,142.206497
0,59,143.343544
0.008676,49,144.336941
0,52,145.469719
1.403355,511,152.491516
0,140,154.702377
0,51,155.739914
0,415,161.372293
0.005275,115,163.504232
9.829002,1001,177.399578
0,56,178.563248
0.002128,62,179.694409
0,39,180.594305
0.54397,174,183.540527
0,1001,199.80609
0,1001,213.455302
0,579,221.189793
0,55,222.263481
0,65,223.519802
0,50,224.58738
7.415855,1001,237.946227
0,45,238.955097
0,58,240.138399
0,51,241.198302
0,53,242.361708
0.003797,430,248.401888
0,50,249.423215
0,252,256.771284
0.006836,59,257.910098
0,50,258.963291
0,53,260.090181
0,58,261.254395
6.248668,1001,274.281315
0,55,275.358461
0.002147,49,276.384661
0,47,277.396573
0,465,283.666261
0.00139,61,284.799838
0,59,285.964945
0,57,287.125542
0,83,288.555915
0.00326,56,289.700109
0,44,290.640536
0.245474,496,297.491897
0,136,299.611092
0,68,300.871358
0,43,301.80215
0,55,302.899394
0.661623,146,305.010755
2.443445,1001,321.367537
0,50,322.36385
0,57,323.480411
0.002112,44,324.469021
0.144566,521,331.651477
0.00534,63,332.824686
0,44,333.850594
0,53,334.9474
0.920137,775,345.307535
0,48,346.302655
0.007748,46,347.275259
0,43,348.236729
1.533385,347,353.435899
0,45,354.428691
0,58,355.748531
0.001588,56,356.985817
6.569461,376,362.259378
0,49,363.289778
0.0025,39,364.244827
0,160,366.609137
7.005146,1001,379.578982
0.000692,50,380.709038
0,50,381.69769
6.162456,765,394.843801
3.501659,512,401.684386
0.001336,63,402.942195
0.005283,48,404.060038
0,55,405.126555
0.5137,299,409.182587
0.313915,145,411.310593
0,177,413.764567
4.574167,996,426.702139
0,1001,439.62186
0.001866,52,440.703984
0,63,444.884414
0.005021,62,446.055921
0.126986,91,447.618099
0,62,448.8282
0.004263,50,449.789103
0.00946,49,450.780468
1.017601,223,453.939332
0,102,455.63559
0,49,456.681976
0,225,459.929233
0,67,461.188186
0.001325,48,462.222878
0.002989,46,463.167835
4.011663,556,470.901335
0,58,472.121713
0,464,478.317966
2.852286,1001,491.400534
0.562724,348,496.212129
0,60,497.317567
0,489,507.194321
1.734895,419,512.996643
0.000531,78,514.432468
0,57,515.566471
0.8521,230,518.96061
0,1001,532.577523
0,63,533.794254
0.001087,744,543.745624
3.054934,725,553.518611
0,99,555.090568
0,57,556.176287
0.003999,53,557.275056
0,61,558.53801
0,51,559.621674
0,103,561.471884
7.565844,609,572.511934
0,48,573.614766
0.000644,140,576.070029
0.006746,450,582.399579
0.0001,49,583.399423
0,57,584.676464
0.000443,57,585.963562
0,61,587.103797
0,50,588.154393
0,55,589.203963
0,79,590.632067
1.779227,1001,604.348334
0.002258,49,605.385446
0,205,608.605912
0,158,610.910886
0,53,611.997111
1.772091,290,616.06392
0.001014,51,617.144061
2.891942,770,627.648931
0.000236,355,635.705527
2.267148,278,641.496195
0.002679,71,643.175752
0,51,644.420205
0.011246,55,645.742356
0.067146,568,654.210548
0.000212,49,655.418454
3.662061,402,661.791115
0,866,674.207093
0.003062,73,675.925453
3.948575,922,689.460416
0,50,690.682843
0.00199,59,691.925699
7.895034,1001,709.186653
0,204,712.371402
0,61,713.601954
0.002018,73,714.976113
0.011496,54,716.085072
0,43,717.259897
0,151,719.946801
0,59,721.201498
0,135,723.489869
0,53,724.802364
1.819042,1001,739.172239
9.237062,1001,753.194479
0,467,760.315487
0.397582,1001,779.029721
0,56,780.366812
2.956359,708,791.773886
0,56,793.11758
0.004793,48,794.383745
0.994415,174,797.605742
0.011669,207,801.539694
4.411052,1001,817.863674
0,54,819.187181
0,53,820.463978
0,44,821.600324
0,54,822.895076
3.093795,442,830.094262
0,378,836.469335
0,211,843.686188
10.289331,649,854.074726
0.003197,51,855.300052
0.010391,49,856.609643
3.279397,970,871.870744
5.039396,1001,888.008879
0.000509,52,889.220133
0,113,891.457872
8.104032,1001,907.038275
0.463825,164,913.952703
2.619102,1001,928.757338
0,84,930.381195
0.002174,57,931.722952
0.004499,191,935.046848
0.005976,104,937.115236
0,47,938.285516
0.611332,668,949.265208
1.239077,769,962.014288
6.625191,1001,977.351607
0,66,979.030502
3.029125,768,994.215712
0,80,995.878351
0,55,997.175353
0.136783,274,1001.999806
0.00094,61,1003.401256
0.001357,54,1004.781109
0.005606,79,1006.745919
1.600767,704,1018.488723
0.002597,94,1020.391463
0.005103,73,1021.941524
7.211666,786,1034.436546
3.57609,606,1044.415831
3.07419,1001,1064.403154
0.010698,421,1071.255018
0,260,1075.630373
5.728573,666,1086.599898
0,61,1087.985641
0.129928,845,1101.096272
0,47,1102.253061
0.005909,135,1104.668914
0.009063,64,1106.166066
0,105,1108.391764
0.009509,81,1110.12689
0,59,1111.376129
2.314268,1001,1130.686393
4.158208,1001,1146.333314
0.074806,99,1148.247331
4.782224,964,1163.984408
0,48,1165.273794
0.00706,53,1166.511335
11.985739,1001,1182.634301
0,152,1185.532598
0.185955,1001,1205.180708
1.948958,429,1212.282061
0,159,1215.319684
0.042343,81,1217.00911
0,52,1218.270967
2.833846,1001,1232.882751
0.777696,635,1241.881788
1.152806,1001,1256.12532
0,53,1257.314987
0,65,1258.640444
0.005603,63,1259.880271
0.010253,53,1261.03025
0.009501,74,1262.455222
0.004851,341,1270.538471
0,55,1271.707085
0,57,1272.857866
0,54,1274.075225
0,52,1275.318802
0.557055,551,1283.290854
0.002409,59,1284.527873
0.797891,612,1294.008035
0.13123,1001,1309.29002
0.004263,79,1311.034905
0,87,1312.632658
0,70,1313.895653
0.717725,717,1324.599732
0.00178,63,1326.00747
0.001232,56,1327.289392
0,71,1328.728562
0.146056,729,1342.828632
0.093216,148,1345.294905
0,49,1346.362957
3.101596,1001,1361.59754
0.213262,207,1365.323195
0.004939,53,1366.4679
0,57,1367.73543
0.160207,259,1372.031768
0,58,1373.385668
0,133,1375.992406
3.386681,349,1381.878683
0.281519,798,1394.975017
0.003772,271,1399.502885
6.197072,813,1415.693163
2.989478,658,1426.680824
0.002499,54,1427.9572
0,1001,1443.505665
3.983208,1001,1458.653893
0,211,1462.114776
0.004589,54,1463.411388
0.003104,55,1464.736591
4.552479,645,1478.416414
0.001048,557,1486.594931
0.01051,55,1487.902697
1.264976,872,1501.091506
0,137,1504.176987
10.893249,1001,1520.16599
7.464899,898,1534.327017
0.024198,80,1536.04304
0,144,1538.875141
1.164011,249,1546.515635
2.315093,1001,1562.952256
0.563799,458,1570.518085
0.047463,320,1575.88805
5.287586,855,1589.796476
0,56,1591.182177
0.091494,852,1604.252296
0.006866,53,1605.442132
0.340506,248,1609.48201
0,48,1610.674943
0,69,1612.169133
0.001615,299,1620.210079
