#{"t_start": 1670331631.740898, "env_id": null}
r,l,t
0,347,5.763128
0,1001,11.5903
0.010321,291,13.605587
0,116,14.762963
0,97,15.741945
0.00095,299,17.650392
0,167,18.935352
0,1001,24.723396
0,637,28.643457
0,182,33.132852
0,1001,39.121392
0,246,40.822878
0,307,42.948914
0.008096,417,45.72269
0,472,48.869616
0.058918,1001,54.652919
0,134,55.794169
0,829,63.72182
0,358,66.139123
0,97,67.061567
0.002861,974,72.980742
0.031536,93,73.925833
0.002333,1001,80.155825
0.007535,356,82.562567
0,54,83.269558
0.077611,232,84.87569
0.00043,372,87.334413
0.066874,1001,95.979787
0.006435,176,97.307244
0.012278,275,99.217941
0,300,101.253646
0,139,102.537425
0,325,104.679628
0,299,106.651533
0,315,108.824938
0.006005,578,112.603479
0,299,114.652751
0.006753,280,116.597713
0.014577,186,118.002585
0.00707,804,126.469826
0,103,127.484061
0.06126,1001,133.505104
0,63,134.356853
0.062134,375,137.038013
0.117342,677,141.057991
0.015098,183,142.467822
0.004134,128,143.561386
0.038029,1001,152.403218
0,50,153.127423
0.005649,88,153.976714
0.007165,1001,159.775856
0,47,160.403745
0,604,164.139214
0,244,165.887422
0,210,167.384605
0,125,168.519346
0,276,170.453398
0,432,173.219295
0,129,174.268574
0,284,176.204709
0,417,178.879622
0.040268,304,183.922876
0,583,187.495112
0,208,189.005682
0.01777,183,190.364172
0,31,190.921082
0,170,192.239676
0,507,195.375508
0.011514,60,196.195344
0.011611,832,201.07237
0,159,202.35474
0,306,204.618364
0.035372,356,206.958308
0.002958,183,208.399548
0.002193,447,214.112634
0,571,217.448049
0,543,221.102357
0.001519,364,223.746706
0,167,225.299292
0,63,226.039107
0,238,227.798836
0,245,229.48649
0.014755,148,230.66244
0.003569,745,235.072774
0,439,237.874737
0.004252,230,239.468291
0.016146,105,240.390318
0,67,241.165888
0,257,245.856966
0.000562,1001,252.267062
0.009467,1001,258.118547
0.009837,117,259.211231
0.002341,323,261.38044
0,407,264.053709
0,162,265.442862
0.00306,354,267.763601
0.071279,1001,276.4128
0,300,278.454232
0.002904,724,282.661048
0,1001,288.499434
0.004051,192,289.931301
0,389,292.389918
0,839,297.498748
0.051925,231,302.101752
0,621,305.793495
0,1001,311.684778
0,241,313.336037
0.075572,179,314.654273
0,403,317.215798
0.033184,713,321.415681
0,91,322.326455
0.005971,169,323.708137
0.010017,1001,332.545476
0,372,334.924284
0.023999,804,339.86446
0.004201,648,343.645574
0.007257,392,346.191295
0,202,347.64158
0.008758,860,352.681473
0.007285,77,353.489184
0.014914,756,360.717443
0.003416,897,366.007916
0,1001,371.893699
0.019815,595,375.665937
0,250,377.409632
0,157,378.663429
0,646,382.841186
0,210,387.113227
0.01436,35,387.675072
0.010802,442,390.417829
0,915,395.657783
0,803,400.699812
0,622,404.653454
0.01727,137,405.785324
0,97,406.778306
0.008835,465,409.797285
0,156,411.295616
0,194,412.723939
0.014206,97,413.684985
0,1001,422.461177
0.029193,39,423.11361
0.002617,787,428.004427
0.027236,309,430.251183
0,721,434.658349
0,50,435.453943
0,269,437.37588
0,130,438.550076
0.000791,601,442.216857
0,679,449.313196
0,1001,455.619532
0.027693,354,457.910414
0,277,459.873619
0,205,461.38629
0.002791,67,462.13311
0.021262,318,464.374031
0.002572,519,468.005685
0,778,472.721787
0,770,480.136717
0,617,483.854498
0.003751,389,486.382337
0.005109,132,487.450844
0,106,488.372001
0,1001,494.163495
0.06633,376,496.882854
0.073315,72,497.716431
0.0221,66,498.441042
0,66,499.211242
0,230,501.005826
0.007513,148,502.219885
0.00137,80,503.102943
0,197,508.372793
0,1001,515.644979
0,700,520.24566
0,1001,527.355679
0,264,529.553183
0.003445,182,531.130561
0.013881,317,533.536195
0,452,536.513498
0.006438,464,542.886589
0,226,544.896091
0.015531,462,548.193736
0,506,552.101928
0,185,553.654919
0.026098,136,554.887225
0.00617,319,557.189199
0,219,558.995426
0,240,560.799213
0,238,562.779126
0,527,566.327313
0,83,567.29304
0,1001,577.146003
0.005528,389,579.71564
0.000929,1001,585.968329
0.014704,1001,592.833139
0.026634,733,597.598988
0,184,599.111952
0,829,607.475998
0,75,608.332993
0,377,611.025606
0.001597,563,614.749804
0.018853,424,617.576662
0.038312,157,618.818851
0.028889,180,620.275829
0,351,622.785447
0,1001,629.412239
0,789,639.030779
0,364,641.654718
0,64,642.494888
0.079483,987,649.136028
0,1001,656.222976
0.031966,375,659.420756
0,172,661.113239
0,697,666.379194
0,1001,677.04067
0,111,678.211704
0,158,679.814107
0,1001,686.923539
0.053656,1001,694.004239
0.0663,271,696.268466
0.000771,517,700.270621
0.003872,1001,711.177002
0.016163,79,712.158916
0,105,713.34483
0.003456,102,714.451619
0,760,719.891644
0.014964,207,721.730787
0.004984,158,723.168048
0.006973,256,725.339478
0,201,727.063935
0.013747,187,728.72329
0,99,730.006716
0.015344,684,734.962062
0,614,742.717802
0.012367,232,744.73488
0.0149,308,747.127572
0.006908,264,749.338022
0.002922,234,751.368738
0,396,754.487976
0.002849,460,757.910468
0,510,761.590096
0,416,764.63784
0.015597,894,770.757712
0,180,772.369515
0,837,782.259706
0,173,783.86338
0.005868,511,787.199385
0.00557,719,791.745816
0,450,795.217135
0,299,797.520826
0,387,800.393357
0.043288,257,802.513817
0,63,803.440302
0.005437,933,813.425096
0.018755,243,815.454499
0,193,817.136466
0.021866,265,819.326508
0,1001,826.333417
0,686,831.727242
0,311,834.04651
0.002884,48,834.7793
0.006266,606,839.122588
0.003479,498,846.212269
0.02379,517,850.334189
0.012425,197,852.201965
0.004744,109,853.390791
0,155,854.867508
0,23,855.42459
0.031716,369,858.270921
0.014726,451,861.554577
0.02037,36,862.23371
0.00897,269,864.333992
0,506,868.065693
0,1001,875.635395
0.038562,37,876.39714
0.02104,791,885.668987
0.015036,54,886.525418
0,362,889.271317
0.016016,112,890.514163
0,189,892.397061
0.051867,526,896.110901
0,1001,903.177857
0.098479,1001,910.26392
0,296,912.761133
0.034012,79,917.314708
0.005325,166,918.891772
0.016204,250,920.926232
0.018192,1001,928.4953
0,206,930.427604
0.053784,736,935.700997
0,946,942.375396
0.142179,108,943.490697
0,97,944.589349
0.041536,648,953.189187
0.024349,838,958.914864
0.018051,689,963.662092
0.045935,162,965.07383
0,326,967.595409
0.009601,66,968.41263
0.000353,172,969.933327
0.110519,917,976.373136
0,44,977.11029
0.015019,289,979.509691
0,295,981.833506
0,354,988.114732
0,64,988.961384
0,143,990.349984
0.066914,146,991.744205
0.028293,314,994.156027
0.051331,276,996.542619
0,456,999.911586
0,594,1004.105823
0,263,1006.276043
0.14484,352,1008.991954
0,294,1011.348192
0.020811,1001,1018.157899
0.051738,55,1023.157943
0,371,1026.205653
0,95,1027.327982
0.104173,151,1028.887574
0,260,1031.063038
0,508,1034.830741
0.012387,58,1035.639906
0,206,1037.505847
0.001444,211,1039.282947
0.008915,332,1041.962352
0.02604,240,1043.963058
0.006101,183,1045.690819
0.002678,180,1047.463489
0,914,1054.044585
0.060092,561,1061.764685
0.002419,287,1064.163968
0.037087,256,1066.307132
0.032018,30,1066.987013
0.026209,316,1069.595894
0,109,1070.81498
0.047852,210,1072.699346
0,575,1076.885718
0,330,1079.485572
0.012868,257,1081.783424
0.041786,302,1084.315913
0.243232,648,1088.645925
0,434,1091.575737
0.00048,1001,1101.23717
0.001761,522,1104.870487
0.009417,315,1107.078255
0,1001,1113.143348
0.159847,475,1116.409095
0,129,1117.598371
0,269,1119.728384
0.051243,788,1127.868674
0.012352,564,1131.558136
0,859,1137.117129
0,109,1138.166783
0,101,1139.203773
0.016328,1001,1145.64764
0.006183,133,1146.880532
0,1001,1153.157466
0.013763,145,1157.709275
0.084309,273,1160.093941
0,1001,1167.246906
0.003857,95,1168.289588
0.003168,781,1173.580675
0.002638,1001,1180.713003
0,1001,1190.421671
0.003818,165,1191.866497
0,209,1193.539561
0,88,1194.566121
0,21,1195.21806
0,389,1198.031504
0.001453,100,1199.039167
0.00161,487,1202.481835
0.000944,656,1207.035864
0.010096,590,1211.208738
0.05118,1001,1217.406547
0.051105,1001,1227.752694
0,282,1230.007541
0,90,1231.112955
0,366,1234.104251
0,712,1238.899791
0.000208,143,1240.241039
0.150777,231,1242.232155
0.011201,1001,1249.314642
0.029627,235,1251.373635
0.013872,436,1258.307521
0.009534,965,1265.056274
0.007726,902,1271.221344
0.231143,240,1273.281511
0,28,1274.056743
0.122271,435,1277.44583
0.014501,1001,1284.461249
0,78,1285.459276
0.035889,538,1292.969112
0.001463,56,1293.885218
0,657,1298.675696
0.0024,333,1301.39834
0.040582,148,1302.928326
0,561,1307.264756
0.159725,512,1311.037901
0.00452,173,1312.602786
0.011833,519,1316.245582
0.07146,925,1325.551566
0.014505,951,1332.079159
0.008614,547,1335.935004
0.00705,450,1339.771657
0,492,1343.796153
0,492,1347.191231
0,47,1347.932509
0.043594,1001,1354.390084
0.010719,289,1359.851634
0.098707,821,1365.343293
0.002854,154,1366.852226
0.03921,558,1371.565798
0.056926,372,1375.028695
0.00322,94,1376.16142
0.051315,79,1377.146779
0,682,1381.90899
0.022564,158,1383.390491
0.03541,265,1385.573291
0,119,1386.774817
0.021989,1001,1396.965771
0.029168,565,1401.175738
0.113298,541,1405.351052
0,1001,1412.684636
0.150008,721,1417.906726
0.14408,411,1421.033613
0.001202,488,1428.325154
0,355,1431.248629
0,308,1433.635364
0.447382,1001,1440.72283
0,140,1442.213997
0.023518,1001,1449.501974
0.016593,117,1450.787738
0.007738,868,1456.963883
0.009703,30,1457.628092
