#{"t_start": 1670326656.9196393, "env_id": null}
r,l,t
0.36085,1001,13.534975
0.002145,302,17.460143
0.001181,64,18.543896
0,55,19.530331
0,883,30.309021
0,55,31.308496
0,58,32.36442
0,60,33.525806
1.156695,556,40.424691
3.89006,1001,52.539305
0.002827,52,53.48783
0.009868,187,59.031761
0.122664,145,61.013555
0,111,62.675635
4.823505,560,69.507833
2.890037,241,72.716386
0.001545,62,73.808861
0,661,81.965916
0.004506,97,83.39586
0.000174,41,84.229155
0,181,86.588094
0.000125,41,87.516062
0,59,88.59479
0.00119,65,89.8112
0.001727,53,90.757439
0.186576,389,95.579425
0.00532,304,99.498338
0,42,100.309741
0.649842,206,103.00187
0.002396,51,103.953993
0.001859,59,105.031115
0,51,105.939185
0,53,106.935577
4.800857,1001,121.92767
0.000382,48,122.81388
0.003152,49,123.72464
0.010193,52,124.670469
0,49,125.590755
0,52,126.555833
0,58,127.632171
0.004369,94,129.203353
0,42,130.147682
0,41,130.981615
0.008807,94,132.459882
2.742068,1001,145.546139
0,50,146.550147
0,60,147.704184
0.065644,295,151.779698
0.001759,44,152.729204
0,45,153.55082
0.015614,45,154.369882
0,59,155.32045
0,50,156.225094
0,45,157.064747
3.532782,1001,168.971761
0,48,169.892201
9e-06,55,170.852484
0.000745,67,172.053115
0,56,173.061514
0.243357,529,182.33175
0,59,183.360608
0.010423,49,184.253963
0,45,185.144191
0,50,186.093924
0,46,186.979183
0,696,195.391594
0.456799,1001,207.626425
0,348,211.974617
0.010703,64,213.03788
0,59,214.044218
0.001472,73,215.271438
0,61,216.345857
0.095445,568,223.364753
0,50,224.278944
0,57,225.278346
0,61,226.344682
0.061738,606,236.475694
0.056827,65,237.575573
0,58,238.610081
8.097802,1001,250.809304
0,133,252.825416
0,49,253.770334
0.774955,166,256.152987
0,41,256.95764
0,271,260.495893
0,41,261.305533
0,41,262.130063
0.000759,61,263.2895
0,644,271.493861
0,578,279.427161
0,59,280.621933
0,48,281.774278
3.411206,568,292.452865
0.002342,61,293.594069
1.156943,1001,306.935575
0,50,307.871528
3.314678,520,314.151257
0,46,315.05407
0,58,316.13454
0.002912,57,317.181887
0,51,318.132265
0,44,319.038316
0.003794,63,320.122136
0.00376,57,321.109443
0.096237,215,324.776755
0,51,325.829888
0,44,326.837042
0.002734,64,328.05939
0,45,329.008157
0.438148,325,333.50856
1.334849,649,341.801153
0,49,342.727663
0,65,343.76651
0,67,344.871736
0,1001,359.565552
0,60,360.640609
0,46,361.5413
0,42,362.430467
0,72,363.6393
0.011061,63,364.726205
0,43,365.565492
0,48,366.476105
0,41,367.271994
0,55,368.279049
0,51,369.192249
5.909856,336,373.492357
