#{"t_start": 1670591947.3107016, "env_id": null}
r,l,t
0.103673,63,3.003096
0.034832,63,4.008046
0.060401,44,4.816417
0.024435,68,5.968851
0.059476,61,7.029419
4.165659,301,11.146142
0.047771,67,12.286617
0.041151,59,13.262605
0.034476,44,14.140524
0.101034,46,15.148648
6.753867,1001,27.956948
38.12835,785,37.778201
0.066127,57,38.780016
2.955652,174,41.427281
0.021062,54,42.341949
1.487095,79,43.607965
0.102113,58,44.773939
0.033629,711,54.461784
0.019085,93,56.117765
0.110537,72,57.403075
0.028056,50,58.374471
0.110989,186,63.826243
0.026989,53,64.77889
0.172362,71,65.998363
8.668026,306,70.305915
0.043074,83,71.683844
0.015123,54,72.740139
0.004505,70,74.074593
6.791997,1001,86.495529
0.043511,134,88.510977
0.007513,39,89.390003
0.068755,1001,102.16577
1.686214,181,104.798522
24.390769,390,110.389227
0.006394,144,112.509211
0.020024,46,113.513494
20.109997,574,123.167135
13.889591,256,126.538363
0.012699,46,127.457566
0.014047,44,128.351902
1.238122,778,138.304557
0.062797,485,144.543649
0.049245,49,145.528723
0.038549,51,146.536413
0.690959,170,148.95147
0.43386,62,150.106359
0.017066,47,150.946891
3.873192,664,159.582184
0.06283,48,160.516929
0.018594,44,161.49674
7.659376,267,165.129508
0.016452,48,166.109568
0.095583,51,167.047693
0.013499,56,168.012442
0.083887,42,168.926199
0.066968,45,169.871676
32.060243,905,183.948087
11.569178,700,192.50953
0.042912,56,193.634282
0.027503,42,194.540828
0.059129,47,195.461489
0.014403,50,196.394377
2.839776,1001,209.954547
2.479882,110,211.702775
0.686329,84,213.154235
0.090704,42,214.034002
0.054967,43,214.935921
1.53162,94,216.430885
0.090362,55,217.543649
0.020091,60,218.561161
1.063707,77,220.026911
26.546502,693,229.17216
0.024867,475,235.952302
0.029602,52,237.025182
0.596871,110,238.836462
0.088723,53,239.916394
9.013969,511,249.253539
0.058805,48,250.298093
0.089656,52,251.426203
0.118821,69,252.584747
2.311215,133,254.47038
