#{"t_start": 1670321987.1473095, "env_id": null}
r,l,t
0,6,4.720301
0,5,5.087478
0.004805,26,5.581177
0,14,6.050236
0,14,6.47058
0,13,6.893545
0,18,7.358449
0,7,7.746513
0,10,8.159709
0,16,8.659355
0,8,9.104236
0,5,9.519783
0,18,9.961438
0,16,10.379601
0,5,10.727722
0,6,11.086216
0,5,11.436404
0,14,11.855104
0,5,12.21197
0,13,12.670429
0,12,13.079167
0,8,13.446383
0,4,13.794851
0,10,14.185071
0,6,14.53933
0,5,14.896109
0,7,15.278358
0,5,15.63429
0,26,16.16073
0,5,16.520133
0,14,16.962249
0,5,17.336162
0,7,17.704133
0,15,18.135918
0,5,18.48045
0,9,18.87124
0,19,19.333297
0,17,19.792765
0,27,20.319443
0,10,20.709798
0,18,21.163746
0,18,21.618189
0,15,22.054384
0,12,22.507745
0,6,22.870546
0,4,23.221253
0,12,23.622353
0,20,24.110148
0,5,24.458123
0,14,24.868851
0,16,25.303227
0,17,25.762391
0,4,26.126165
0,4,26.465584
0,6,26.820314
0,8,27.220363
0,11,27.620287
0,19,28.076844
0,12,28.473894
0,12,28.882598
0,7,29.287597
0,6,29.650701
0,20,30.117467
0,20,30.589093
0.000421,19,31.054799
0,5,31.403138
0,12,31.869774
0,12,32.314397
0,5,32.745272
0,13,33.178905
0,22,33.635878
0,5,33.987358
0,21,34.450929
0,6,34.822295
0,4,35.165639
0,12,35.566533
0,17,36.023647
0,25,36.530012
0.008147,15,36.970927
0,7,37.37162
0,8,37.80134
0,13,38.241186
0,21,38.749186
0,9,39.173981
0,5,39.577757
0,5,39.942903
0,11,40.343132
0,17,40.884463
0,7,41.280243
0,18,41.754426
0,18,42.2399
0,33,42.938188
0,11,43.347646
0,12,43.772232
0,21,44.259329
0,14,44.690652
0,14,45.106529
0,8,45.485151
0,8,45.908049
0,14,46.381705
0,8,46.756369
0,5,47.115817
0,38,47.723964
0,18,48.206884
0,10,48.633013
0,13,49.156122
0,10,49.659242
0,20,50.211179
0,5,50.632192
0,10,51.093724
0,11,51.506453
0,13,51.934816
0,21,52.417755
0,8,52.903961
0,6,53.341432
0,10,53.77005
0,18,54.25446
0,10,54.666182
0,12,55.141961
0,6,55.573853
0,4,55.998095
0,5,56.42952
0,18,56.952242
0,6,57.429519
0,29,58.099425
0,44,58.846913
0,7,59.258836
0,12,59.763627
0,9,60.162775
0,21,60.673784
0,13,61.104883
0,8,61.494582
0,8,61.908427
0,14,62.351676
0,13,62.913603
0,7,63.330386
0,5,63.70688
0,4,64.090034
0,4,64.470581
0,13,64.912768
0,5,65.282575
0,5,65.657568
0,21,66.241566
0,6,66.671875
0,10,67.093297
0,7,67.477857
0,11,67.888628
0,12,68.295315
0,19,68.769011
0,13,69.220119
0,20,69.805391
0,12,70.251709
0,21,70.766943
0,65,71.652722
0,46,72.372964
0,4,72.830538
0,10,73.265674
0.01169,9,73.672922
0,5,74.048039
0,8,74.44199
0,11,74.872949
0,10,75.265456
0,6,75.632947
0,21,76.169125
0,13,76.610533
0.004897,22,77.096523
0,10,77.538749
0,16,77.972332
0,13,78.389683
0,6,78.758983
0,7,79.132459
0,5,79.493124
0,14,79.918862
0,17,80.37346
0,16,80.822815
0,12,81.246313
0,6,81.651009
0,27,82.220902
0,10,82.632238
0,13,83.12699
0,14,83.540269
0,16,84.012691
0,23,84.499799
0,15,84.931796
0,4,85.284138
0,6,85.646952
0,6,86.024729
0,13,86.473618
0,5,86.833862
0,20,87.312899
