#{"t_start": 1671200084.0731769, "env_id": null}
r,l,t
0.001764,43,5.430882
0,43,6.382294
0.937373,570,14.794074
0,51,15.859331
0,64,17.103941
0,48,18.157468
1.526919,174,20.824634
0.305369,350,25.934545
0.002473,52,26.985293
4.753453,678,37.266878
0.000741,53,38.695429
0,156,43.078963
0,54,44.447731
0.612577,136,47.148839
0.000252,49,48.447287
0.003917,56,49.750145
0,63,51.478042
0,44,52.617955
0,55,53.984576
0.006597,114,56.444026
0,58,58.17849
0.007512,50,59.824515
0.002317,50,61.499438
0,109,64.299712
0,80,66.361822
0.001277,64,68.815007
0,43,70.376294
0.66512,285,75.053271
1.844361,489,82.234459
0.00249,54,86.592233
0.000508,53,88.182219
0,48,89.842879
0,58,91.527962
0,103,94.190442
0,45,95.649407
0,50,97.266607
0,42,98.617444
0.001302,54,100.310176
0.288044,454,109.852717
0.008824,567,117.847388
0,52,118.896024
0.644376,372,124.050155
0,48,125.084657
0,60,126.226873
0.001186,266,130.043536
0,55,131.14228
0.005505,344,136.030216
0,451,142.275548
0,60,143.412242
0.006999,50,144.421782
0.005395,52,145.540848
0,74,146.865539
0,1001,163.51494
0,46,164.485757
2.481015,1001,177.943675
0,52,178.990987
0,43,179.920886
0.005016,141,182.121557
0,58,183.247635
0,46,184.25632
0.00202,45,185.204481
0,52,186.243486
11.157566,1001,199.674798
1.961039,1001,213.331687
0.004372,49,214.344182
0.007761,66,215.642269
3.434439,391,224.621351
0,59,225.84814
0,47,226.899192
0.004921,53,228.002068
0.00421,556,237.571019
0.891669,365,245.553514
0,51,247.274704
0.310226,1001,261.56129
0,769,273.859655
2.205516,1001,291.362251
0.009113,55,292.474543
0.001637,70,293.797366
0.08154,129,295.902522
0,51,296.966225
3e-05,63,298.205403
0.007753,45,299.197838
0.00323,53,300.302847
0,80,301.745048
0.000856,52,302.833926
0.004657,54,303.991901
0,63,305.21191
4.367819,707,315.100009
0,66,316.373185
0,96,318.091448
0.002001,492,325.05601
0.004405,47,326.07228
0,54,327.217685
0.008807,53,328.365191
0.655629,208,331.678999
0,49,332.73003
0.139765,97,334.5476
0,58,335.988465
0.007312,540,343.734438
0.005023,43,344.732777
0,54,345.873459
4.343356,564,354.939873
4.2e-05,60,356.240791
0,57,357.428573
0,46,358.459009
0.003118,221,364.848389
0,47,365.888928
2.622881,426,371.959089
0.001512,741,382.545083
0,53,383.776759
0,60,385.069297
0.003535,62,386.453344
2.1e-05,138,388.911785
0.000773,71,390.359644
0,45,391.441128
0.085366,272,396.035157
0.003287,117,397.98404
3.300727,538,405.442424
0,54,406.576796
0.002393,68,407.951384
0.000847,57,409.140839
0,909,422.122771
0.00527,561,433.457773
5.391852,652,443.468051
0.009386,50,444.524474
0,87,446.134852
0,184,449.109281
0,50,450.87869
0,60,452.284206
0.007064,48,453.341409
0.465133,177,456.220654
0.002408,58,457.461962
0,63,458.725753
0.913677,1001,473.759844
0,60,475.035222
0.006039,69,476.364589
0,41,477.405968
0,43,478.499468
0,386,484.272422
0,43,485.208554
0,56,486.278734
0,55,487.344471
0,51,488.503527
0,57,489.616915
0.004027,50,490.638289
0,53,491.868695
0,66,493.182642
0,46,494.197862
0.003492,43,495.316873
5.541479,343,505.033174
0,46,506.463184
3.194024,721,517.748696
0,42,518.672176
0.013025,129,520.871793
0,68,522.339705
0.002736,49,523.511699
0.11677,169,526.155374
0,60,527.493838
4.848988,1001,541.84259
0,52,542.956852
0.86318,407,548.686912
1.572428,546,556.191042
0.75364,632,565.250561
0.019357,80,566.720315
2.510639,562,577.606437
0.000726,864,589.777203
5.927632,1001,603.669452
2.128089,868,615.560322
0.007536,50,616.66416
0,94,618.412654
0,1001,635.626944
0.131899,181,639.066811
0.004866,52,640.25001
0.076138,117,642.442597
0.212034,894,656.413142
0.000632,41,658.006301
0.009259,58,660.225389
0.005786,55,663.390631
0.016239,55,668.192538
0.312365,141,673.07003
0.001337,50,675.041266
0.000998,58,677.145854
0.000954,46,678.852744
0,603,692.279213
2.294338,271,698.608091
4.273981,360,707.205069
0.005328,60,709.315147
1.383685,1001,736.771852
0.00054,50,738.42189
3.65823,1001,760.886141
0.000918,48,762.671522
2.329014,656,778.427557
0,55,780.476529
0.640535,841,799.818211
0,89,802.340716
0,386,811.561225
0,51,813.447982
0.003411,168,818.257281
0,51,820.00015
0.182832,128,823.298656
3.784304,1001,851.587089
0,45,853.364589
0.002068,65,855.524002
2.69854,1001,880.055234
3.123658,807,899.362406
8.825485,894,922.110639
0.259411,504,937.071722
0.002139,61,939.195485
0,49,945.85503
0.466765,845,965.621247
0.003951,452,976.390376
3.09409,701,992.385955
1.552005,632,1006.206939
6.385427,786,1023.302951
0.5582,412,1032.628644
0.002805,71,1034.721076
0.000622,59,1036.601207
0.147883,221,1047.154393
0.003762,91,1050.052377
0.00379,126,1053.501559
0.464128,313,1061.23198
1.73033,331,1069.50164
2.270685,1001,1092.348403
2.018395,1001,1115.296101
0,171,1119.570096
0.001843,756,1137.489729
1.529115,1001,1165.740301
6.750621,736,1182.310836
0.221031,723,1198.700761
4.414814,680,1214.382373
0,57,1216.146859
0.166242,123,1219.334339
1.265666,1001,1247.569175
0.016894,1001,1270.245342
0.06666,322,1277.585977
0,49,1279.387261
0.011674,62,1281.252922
1.49779,349,1290.188341
2.215352,776,1308.828193
0.002419,529,1321.452468
0.193404,180,1326.247299
0.008689,45,1327.917332
0,44,1329.671516
1.905058,219,1335.073184
5.10979,496,1346.515762
8.097516,1001,1373.773787
0,67,1375.852865
5.043517,428,1385.992479
4.605499,1001,1408.425091
2.276786,657,1422.928865
9.372047,1001,1441.232236
3.811196,1001,1452.435744
3.479451,1001,1463.649693
7.655366,891,1473.771813
5.398055,1001,1484.958127
0.164687,355,1491.461478
0.00389,46,1492.292132
0,57,1493.270614
0.001236,53,1494.18455
0.14109,66,1495.225789
7.716681,1001,1506.577071
0,1001,1517.750267
1.425666,243,1520.681473
0.024682,100,1522.075395
1.041327,563,1528.48425
0.001382,44,1529.297837
0.00683,57,1530.251117
0.004008,51,1531.147743
2.885481,1001,1544.494391
0,43,1545.306137
0.006294,54,1546.216947
2.415802,441,1551.291772
6.134936,1001,1562.701018
4.944328,1001,1573.971894
2.070463,1001,1585.135142
1.476361,1001,1598.663165
2.682829,541,1605.166532
0.306926,1001,1616.47803
2.531551,1001,1627.740795
1.618759,1001,1641.197536
3.875642,705,1649.17185
4.492012,1001,1660.249236
0.098898,1001,1674.604626
0.004263,60,1676.523768
3.986959,1001,1694.714966
0.314725,201,1699.663517
2.037489,1001,1711.027332
0.402307,732,1719.446138
0.002238,184,1721.853951
0,52,1722.798972
4.654045,440,1728.026145
0,57,1729.002326
2.49671,945,1739.839698
