#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.007159,27,893.678247
0.002616,79,894.450438
0.01169,436,896.984483
0.023655,223,898.508776
0,187,899.808595
0.002612,282,901.590685
0,897,906.54576
0,298,908.430291
0.000491,478,911.27466
0.007529,867,917.844771
0,406,920.221773
0.002932,1001,925.538252
0,854,930.129598
0.008865,1001,935.489361
0.004989,512,940.373285
0.081167,713,944.165516
0.001661,1001,950.610113
0,601,955.106591
0,523,958.21477
0.17273,669,961.925005
0,745,967.979145
0.013044,1001,973.268579
0.002709,591,976.503944
0.090624,446,979.127378
0.014409,330,981.256783
0.001074,1001,986.877545
0.045283,1001,994.559045
0,213,996.033006
0,1001,1001.29895
0,1001,1006.910514
0.007709,1001,1011.818348
0,285,1013.666346
0.028496,71,1016.835006
0,108,1017.633049
0,218,1019.037096
0.018886,274,1020.743697
0.062558,275,1022.461776
0.014648,1001,1027.998418
0,163,1029.406411
0.108547,1001,1034.871497
0,62,1035.476887
0,146,1036.536575
0,670,1040.317042
0,149,1043.646282
0.005386,419,1046.000377
0.065093,572,1049.183341
0,1001,1054.448478
0,727,1058.640632
0.007449,49,1059.351701
0,217,1060.900424
0.019499,213,1062.737175
0.03182,1001,1070.669394
0.006313,275,1072.364546
0.122998,429,1074.996185
0.009262,209,1076.475902
0.042761,309,1078.678889
0.045845,146,1079.813258
0.011916,357,1082.003143
0,75,1082.720119
0.17126,224,1084.128853
0.008251,361,1086.319646
0.010459,266,1087.995557
0.054565,883,1092.836709
0,475,1097.984727
0.036864,355,1100.049114
0.140637,537,1103.074437
0,256,1104.64938
0,312,1106.526936
0.195512,959,1111.663366
0,259,1113.350595
0.145286,1001,1118.768896
0,1001,1126.04198
0,912,1131.040672
0.017718,162,1132.197262
0.087848,716,1136.323665
0.03383,211,1137.745887
0.102116,1001,1142.885264
0.00716,482,1145.679228
0.014282,1001,1153.521731
0.034502,277,1155.361688
0.042521,456,1158.033352
0,459,1160.763274
0,1001,1165.989714
0,209,1167.353838
0.00922,730,1173.636486
0.006081,543,1176.593684
0.005609,1001,1182.145402
0.096386,875,1186.874357
0.003173,551,1189.869569
0.004964,392,1192.097948
0.033424,339,1194.025085
0.017598,345,1196.041364
0,904,1203.085644
2.3e-05,844,1207.60249
0.005002,49,1208.153121
0.037814,562,1211.385736
0,247,1213.097949
0,994,1218.497984
0,1001,1226.559779
0.084239,285,1228.32774
0,187,1229.552862
0.004854,535,1232.55237
0.014727,208,1233.933788
0.035822,54,1234.514853
0.018595,257,1236.100636
0.004809,275,1237.840362
0.085913,83,1238.589645
0.179158,532,1241.531162
0.010409,61,1242.163028
0.031956,357,1244.257225
0.019875,1001,1251.758772
0,780,1255.83357
0.007588,569,1258.915476
0.037753,1001,1264.068847
0.065754,295,1265.80885
0,134,1266.820917
0.01614,880,1271.676258
0.010951,207,1273.032151
0.007356,41,1275.963699
0,143,1276.912058
0.019162,378,1279.062809
0,482,1281.723
0.023628,207,1283.065871
0,1001,1288.367873
0.02043,567,1291.416211
0,273,1293.086154
