#{"t_start": 1670333000.179513, "env_id": null}
r,l,t
0,9,3.88763
0,8,4.561776
0,14,5.245212
0,9,5.890817
0,11,6.607103
0.009779,9,7.232991
0,9,7.732473
0.006088,7,8.314231
0.000191,9,8.879864
0.007241,11,9.534977
0,6,10.080573
0,12,10.705259
0,10,11.248191
0.006058,8,11.770118
0,9,12.274489
0,11,12.882041
0.007267,11,13.442946
0,9,14.026747
0,12,14.591627
0,11,15.144493
0.002934,11,15.693119
0.009039,7,16.254191
0.009576,10,16.812649
0,9,17.375548
0,8,17.953164
0,8,18.520939
0,10,19.122755
0,10,19.668771
0,10,20.200606
0,9,20.783046
0,6,21.266375
0,10,21.813402
0,14,22.404425
0.004355,11,22.966985
0,9,23.559348
0.004652,10,24.198762
0,9,24.75504
0,8,25.394999
0,6,25.983527
0.003624,11,26.572891
0,6,27.100011
0,5,27.602098
0,11,28.132213
0,12,28.72522
0,8,29.275541
0,8,29.807933
0,11,30.358865
0,11,30.909178
0,8,31.445791
0.003516,13,32.035879
0,12,32.586045
0,8,33.151369
0.015078,9,33.688966
0,9,34.252344
0,6,34.831328
0,8,35.461122
0.004704,6,36.038036
0,10,36.662151
0,13,37.27117
0,10,37.836725
0,9,38.45524
0,11,39.055158
0.014121,6,39.603388
0,13,40.190025
0,8,40.776715
0,8,41.284007
0.003276,9,41.852565
0.0041,13,42.444878
0,8,43.117655
0.000762,10,43.815778
0.011048,12,44.498312
0,12,45.16544
0,8,45.734407
0.0115,10,46.262526
0.018672,9,46.827646
0,11,47.340766
0,7,47.881729
0.010589,10,48.411973
0,8,48.969545
0,12,49.53777
0,8,50.070407
0,9,50.566011
0.014204,9,51.138473
0,9,51.626481
0,6,52.1263
0.016394,9,52.68178
0,8,53.191188
0.004678,8,53.698843
0,8,54.215805
0,13,54.852153
0,9,55.531308
0,10,56.267706
0.000521,12,57.012171
0,8,57.616849
0.00352,9,58.254617
0,10,58.824432
0,8,59.392153
0.00212,8,59.986899
0,10,60.655992
0.007199,8,61.235175
0,7,61.806875
0,8,62.386314
0,7,62.940533
0,10,63.469616
0,10,63.988432
0.002677,10,64.544443
0,9,65.129706
0,8,65.637858
0.030009,9,66.168942
0,8,66.703365
0,5,67.231355
0,20,67.850788
0,11,68.385527
0.006699,10,68.92687
0.002497,13,69.553607
0.003609,12,70.184956
0,10,70.733531
0,9,71.248654
0.001154,8,71.822917
0,10,72.390421
0,7,72.932937
0,12,73.537493
0.009762,10,74.126476
0,10,74.683651
0,9,75.203569
0,8,75.774256
0,9,76.414933
0,7,77.087905
0,8,77.638541
0,7,78.198389
0.012838,10,78.894979
0,7,79.449004
0,10,79.945183
0,7,80.494452
0,6,80.982334
0,9,81.561411
0,7,82.061232
0.000648,7,82.634769
0,9,83.150635
0,9,83.704073
0,8,84.269855
0,7,84.829468
0.002152,10,85.348723
0.003678,10,85.904602
0,15,86.508334
0,13,87.059976
0.001173,10,87.602167
0,11,88.172452
0.000713,7,88.713636
0,10,89.255788
0,8,89.797499
0.005991,10,90.37397
0,11,90.948019
0,9,91.474933
0,5,91.986863
0,10,92.523641
0,9,93.084455
0,9,93.603506
0,9,94.137161
0.00111,11,94.677546
0.008089,8,95.224825
0.007188,12,95.760567
0.00067,11,96.328248
0.000146,12,96.933992
0,10,97.487932
0,7,98.041549
0,8,98.533664
0,7,99.005348
