#{"t_start": 1670330700.3167682, "env_id": null}
r,l,t
0.019864,1001,9.246302
0.161488,769,15.35067
0.23068,1001,23.214579
0.046447,1001,31.325744
0.323546,1001,41.912344
0.072638,1001,49.876945
0.10137,22,50.34305
0.062045,156,51.833405
2.07213,1001,59.684942
0.362138,1001,67.599873
0.097406,23,68.077145
0.030332,23,68.553907
0.886153,1001,79.077641
0.085136,1001,87.109793
0.009462,105,88.319884
0.023681,115,89.538708
0.181253,321,92.484299
0.288286,1001,100.856813
0.028411,170,102.534124
0.132828,911,112.636642
0.215902,1001,120.807405
0.063149,1001,129.040481
0.172605,626,134.190503
0.040789,1001,142.069748
0.652236,645,150.019338
0.137585,1001,158.100249
0.097606,325,160.95126
0.037905,1001,169.157808
0.437942,832,175.929348
0.041551,116,177.156856
0.052308,22,177.662651
0.784432,207,179.561883
0.309024,1001,190.190457
0.089852,824,196.6501
1.9777,1001,204.689621
0.551116,1001,212.505612
0.032723,21,212.998503
0.61037,809,222.010914
0.814476,1001,229.914722
0.073094,1001,238.047484
0.295998,1001,245.985586
0.022535,23,246.465365
0.445722,1001,257.079596
0.913603,442,260.823102
1.01355,1001,268.919023
0.490959,1001,276.398175
0.087752,992,285.272496
0.179035,388,291.316622
0.078322,140,292.778595
0.061171,907,300.526966
0.412138,851,308.110092
0.371007,1001,316.573604
0.538066,950,325.097427
0.48939,410,331.497498
0.367503,1001,341.491925
0.061484,1001,350.343609
0.927207,331,353.563815
0.314438,290,356.339431
0.074061,854,364.128802
0.762187,916,375.591064
0.169399,111,376.922077
0.00019,20,377.486837
1.265156,1001,386.461863
0.04351,214,388.623627
1.369896,855,396.374079
0.076093,20,396.927944
1.445568,540,402.2174
0.064538,22,402.853005
0.444413,1001,414.292164
0.063828,1001,423.277391
0.047607,870,431.120057
0.136318,21,431.683857
0.358832,1001,440.587465
0.3874,1001,452.151626
0.034378,1001,461.042771
0.029893,21,461.580133
0.419364,1001,470.666842
1.630184,1001,479.529058
0.462602,834,487.020727
0.832325,1001,498.333582
0.018628,25,498.930454
0.072833,236,501.236747
0.12851,1001,509.721755
0.695078,213,511.823976
0.690543,1001,521.087272
0.570126,1001,532.714107
1.752829,1001,541.256365
0.017391,21,541.787611
0.153608,1001,550.733848
0.339903,1001,559.645459
0.07996,18,560.126415
1.473511,1001,571.617912
0.299634,477,575.855924
0.047511,987,584.86483
0.030172,20,585.40833
0.023111,1001,593.923634
2.440695,1001,602.76563
0.041397,1001,614.421011
0.027598,1001,622.963629
0.222765,1001,631.664303
0.042624,20,632.242723
0.144194,22,632.757631
0.04518,1001,641.630469
0.797865,517,648.798578
0.253897,1001,657.560272
0.509932,1001,666.642993
0.27844,1001,675.261163
0.084218,21,675.775901
0.009544,23,676.348718
0.594481,1001,685.42534
1.974473,714,694.396681
1.426212,1001,703.032462
0.456176,1001,712.148297
0.034648,1001,721.127445
1.032483,1001,732.158754
0.971621,1001,740.879269
0.065863,20,741.405541
0.261829,1001,750.312242
0.507723,1001,758.88273
0.144629,22,759.41189
0.537151,1001,770.731774
0.088566,261,773.275418
2.329438,1001,782.288559
0.390775,1001,791.355177
0.02447,489,795.934056
1.193899,1001,809.260279
0.425715,1001,818.360764
0.21159,1001,827.488622
1.379688,1001,836.219524
0.04055,22,836.753376
2.126989,1001,848.789411
0.029063,1001,857.876845
0.419207,1001,867.157474
0.1474,1001,876.009444
0.282062,1001,888.17229
3.100251,1001,897.231797
0.046249,1001,906.615575
0.279759,1001,916.01045
2.157908,1001,925.226839
0.168567,1001,937.999233
1.922677,1001,947.272717
0.660334,1001,956.512146
