#{"t_start": 1670592294.7410436, "env_id": null}
r,l,t
0,92,3.569152
0.028171,294,7.573137
0.00328,64,8.627378
0,45,9.521346
0,39,10.350705
0,99,12.015689
0.112705,527,19.223719
0.124698,477,25.306362
0.007101,1001,38.112156
0,46,39.099257
0.157301,172,41.688637
0,46,42.623944
0,67,43.88899
0.003403,49,44.867019
0,94,46.372496
0,43,47.357213
0,50,48.332006
0,48,49.336148
0.002133,41,50.278479
0,328,55.003156
1.687969,1001,70.38769
0,206,73.583741
0.001835,895,84.901533
0,56,85.978199
0,110,87.767152
0,568,94.777457
0.248504,801,105.243616
0,49,106.219337
0,56,107.41104
0.00567,43,108.36941
0,45,109.296883
0,52,110.468846
0.002105,430,116.440043
0,210,119.408051
0,138,124.020705
0.000449,59,125.327037
0.005794,44,126.231999
0,59,127.368766
0,52,128.440177
0.007492,428,134.357623
0,57,135.73878
0.003103,394,142.329356
1.446525,865,156.642665
3.691664,825,169.50499
0,44,170.511719
0.000156,46,171.655837
0,1001,187.640048
0.006714,40,188.735242
0,414,198.140631
0.001564,57,199.524992
0.012852,1001,213.817011
2.586853,255,217.55811
0.969035,222,221.169287
0.002275,66,222.504431
0,46,223.590809
0,54,224.696896
0,58,225.994928
1.217031,1001,241.687524
0.183337,330,247.271917
4.334597,855,263.27953
0.008059,53,264.474117
0,43,265.556906
0,41,266.522281
0.005768,59,267.939651
0,251,272.395513
0,49,273.610314
4.202979,337,279.142626
1.702168,385,285.227639
0.000349,43,286.265785
0.001785,75,287.871031
0.001216,55,289.003914
0,56,290.461196
0,63,291.899938
0.005263,462,299.083246
4.762958,314,303.892585
0,43,304.955273
0.004849,53,306.18756
0.003123,54,307.456566
0,48,308.604404
0,709,319.800225
0.008496,69,321.376478
0.002905,53,322.757492
0,59,324.055613
0.00871,48,325.21936
0,42,326.327526
0.002082,47,327.463443
0,47,328.548217
0.006868,256,332.864453
0.004403,40,333.96108
0,603,346.726163
0,68,348.19726
0,47,349.392533
0.008236,146,352.318871
0,47,353.433463
1.863943,559,362.510606
0.041524,516,371.032476
0,49,372.056813
0,50,373.162577
0.006514,48,374.369016
0,722,385.945143
0,50,387.196067
0,46,388.533108
0,43,389.640864
0.033521,274,394.295867
0,49,395.559615
0.000761,101,397.358128
0.004702,45,398.602573
0,46,399.853355
0,45,400.959945
0.006554,54,402.314641
1.621497,1001,418.907346
0.004047,47,419.864547
0,106,421.570632
1.766854,653,430.286673
3.6367,401,437.055126
0,43,437.980731
0,50,439.209949
0.000329,39,440.408327
0,53,441.739634
0.001509,56,443.104014
0,1001,458.84357
0.138089,402,465.835578
5.220143,1001,483.59629
0,49,484.775887
0,55,486.041283
0.006202,398,491.853224
0.188468,85,493.31068
0,44,494.226939
0.628926,200,496.927958
0.005474,60,498.062657
0,42,498.945977
0.275042,121,501.101946
2.009327,384,507.048429
7.11191,980,522.323162
0,46,523.563157
0.292235,166,526.934665
0.747079,131,529.279205
0,50,530.553358
3.887932,1001,546.77698
0,61,548.209665
0.476191,331,556.39958
0,48,557.435833
0,49,558.481997
0,51,559.579499
0.63491,226,563.004268
0,40,563.893466
0.962446,561,571.196737
0,58,572.248322
0,54,573.390669
0,47,574.498204
2.803295,234,578.14422
0,42,579.142694
0,51,580.265533
0.002164,62,581.527002
6.185882,1001,594.780087
0.04136,589,602.883527
0,52,603.913461
0,71,605.304512
0.515034,203,608.555133
0.003548,59,609.748537
2.768593,1001,626.047589
14.466504,1001,639.132744
0,41,640.06664
0,532,647.318732
0,38,648.185947
0.000432,60,649.281802
14.132606,1001,662.165096
0,48,663.246008
0,54,664.435137
3.316312,866,681.486992
0.00069,63,682.887414
0.002869,46,684.066541
0,66,685.57096
0.00159,41,686.703548
0.113011,629,696.065166
0.386811,316,701.281777
0,44,702.237117
0,60,703.515844
0,62,704.87588
0.004773,58,706.340127
0,49,707.455802
0.004524,47,708.598461
0,42,709.699321
0.767075,293,715.250762
0,336,720.696722
0.031066,332,725.970438
0.001001,47,726.961981
0.003266,54,728.218982
3.087349,1001,743.819897
0.003167,48,744.961874
2.17933,1001,762.91691
0.005854,55,764.251547
0.000531,57,765.563475
0,40,766.499186
0,197,769.963381
0.191311,209,773.510213
0,42,774.504654
0.067794,131,776.924419
4.575384,326,782.371994
0.536601,434,789.140559
0,60,790.306409
1.397896,212,793.987375
0,56,795.37478
3.092378,1001,812.031494
4.492816,1001,831.578043
1.925406,484,840.307364
0.003676,80,844.084629
