#{"t_start": 1670004339.6209438, "env_id": null}
r,l,t
0,15,3.174636
0,11,3.631318
0,12,4.047875
0,12,4.473159
0,12,4.902709
0.000471,13,5.334649
0,17,5.808522
0,16,6.297356
0.016479,20,6.792114
0,12,7.208918
0,10,7.603098
0,14,8.043945
0,11,8.514863
0,12,8.933507
0,12,9.424222
0,14,9.852539
0.012176,16,10.285014
0,12,10.697868
0,12,11.119113
0.011161,14,11.578486
0,14,11.996006
0,11,12.411376
0,12,12.853386
0,14,13.283502
0.006814,15,13.706083
0.016834,22,14.20632
0,15,14.686666
0,12,15.102496
0,17,15.541685
0.029466,16,16.028591
0,13,16.446437
0,10,16.856653
0,15,17.332866
0,14,17.805744
0.000828,20,18.32655
0,10,18.72456
0,10,19.12492
0.032745,16,19.580074
0.012771,15,20.022075
0,11,20.425812
0,12,20.842602
0.018976,14,21.299971
0,13,21.712374
0.002887,13,22.136872
0,12,22.600858
0.044466,18,23.059422
0,15,23.498669
0,14,23.925919
0,11,24.328838
0,13,24.788305
0.069569,15,25.227036
0,12,25.654631
0,12,26.057347
0,12,26.474084
0,13,26.907839
0,10,27.32781
0,11,27.757798
0,14,28.193255
0,13,28.624042
0,12,29.06694
0,11,29.48654
0,12,29.927013
0,10,30.323396
0,14,30.747794
0,12,31.195067
0,12,31.624745
0,13,32.078178
0.001596,15,32.520537
0,11,32.931032
0,14,33.354618
0,13,33.781165
0,13,34.234295
0,11,34.658586
0,11,35.065753
0.002417,13,35.526155
0,12,35.957289
0,15,36.405344
0,12,36.844882
0,14,37.291454
0,13,37.723796
0,16,38.165629
0,12,38.584436
0,11,38.990538
0,12,39.40674
0,10,39.808446
0,12,40.214874
0,25,40.74844
0,13,41.196076
0,14,41.662091
0,13,42.124169
0,15,42.564099
0,12,42.977553
0,11,43.376937
0,12,43.811455
0,13,44.25887
0,13,44.667469
0,14,45.159528
0,11,45.565549
0,11,45.966078
0.010236,14,46.392974
0,10,46.789785
0,17,47.28577
0.000316,14,47.713862
0,12,48.124848
0,18,48.588016
0,14,49.033441
0.043165,16,49.482446
0,14,49.942858
0.005922,13,50.422087
0.007873,22,50.961233
0.009366,22,51.476757
0,11,51.9019
0,13,52.330371
0,15,52.774685
0,14,53.201719
0,13,53.625513
0.007535,14,54.074146
0,13,54.5039
0,12,54.970179
0,14,55.405752
0,12,55.813377
0,13,56.233072
0.002563,15,56.676453
0,18,57.159198
0,13,57.636081
0,18,58.132404
0,11,58.580359
0,10,59.039128
0,13,59.47842
0.013581,13,59.976904
0,14,60.459358
0,16,60.931162
0,13,61.407048
0,15,61.892136
0,13,62.345317
0.016688,18,62.851649
0,9,63.273736
0,9,63.705793
0,12,64.118323
0,10,64.551098
0,15,65.008038
0,13,65.492014
0,10,65.916879
0,13,66.38358
0,11,66.874618
0,11,67.300126
0.133851,17,67.781602
0,16,68.254605
0.002978,15,68.698093
0,11,69.103759
0,10,69.503345
0,12,69.92744
0.023972,27,70.486842
0,12,70.954946
0,11,71.402233
0,12,71.818352
0.001192,15,72.253942
0,11,72.654022
0,13,73.071109
0,12,73.489283
0,13,73.914233
0,13,74.375658
0,11,74.776717
0,15,75.214597
0,14,75.648544
0,17,76.106289
0,11,76.564639
0,10,76.959797
0,13,77.376188
0,11,77.797917
0,11,78.206663
0,7,78.574225
