#{"t_start": 1670412576.2501278, "env_id": null}
r,l,t
0,191,3.160034
0.00209,35,3.633749
0,330,5.470835
0,45,5.991271
0.00471,79,6.636589
0,483,9.29178
0.289367,600,12.634778
0,170,13.681183
0,293,15.25268
0,56,15.86805
0.000937,114,16.933121
0.003253,556,20.013496
0.010184,234,21.572978
0.007403,151,22.705235
0.004976,1001,30.964626
0.001698,98,31.816862
0,284,33.622734
0.010599,211,35.069129
0,241,36.427948
0.023652,607,39.986688
0,471,42.431217
0,488,45.239027
0.003084,208,46.604777
6.6e-05,468,49.022873
0.025604,1001,56.845717
0.022365,156,57.949593
0,112,58.832806
0,132,59.87182
0,212,61.330153
0,186,62.597533
0,821,67.203291
0.012675,247,68.781782
0.032807,621,72.3135
0,1000,77.524122
0,192,78.842867
0,380,83.645155
0,72,84.339171
0,70,85.027257
0.007667,885,89.70885
0.046106,447,92.285123
0.043816,155,93.394866
0,961,98.642965
0,453,101.203867
0,912,108.714335
0.318136,317,110.537986
0.001838,315,112.429492
0.034372,488,115.23091
0.00149,385,117.508017
0,885,122.255877
0.001215,514,125.109877
0,151,126.152504
0,727,130.152909
0,164,131.344193
0,720,137.704272
0,1001,143.083692
0.00285,243,144.651407
0,482,147.386348
0,408,149.8046
0.142871,845,154.5382
0,368,156.801813
0.192255,303,161.272186
0,275,162.750091
0,797,166.787914
0,38,167.26595
0,1001,172.141361
0,137,173.041099
0.009488,445,175.420708
0.007057,399,177.533344
0,413,179.796613
0,196,181.033908
0,72,181.734403
0.003368,1001,189.69585
0,934,195.039685
0.018644,104,195.919704
0,445,198.320775
0.010786,1001,204.0733
0,219,205.548635
0.00079,49,206.202641
0,1001,214.329604
0,52,214.964338
0.021993,544,218.07399
0.007752,468,221.000741
0.004982,594,224.691461
0.051292,418,227.181298
0,651,231.243173
0,48,231.905659
0,201,233.384014
0.009025,858,240.736949
0.004353,593,244.727968
0,80,245.593263
0.008255,381,247.924235
0.007106,470,251.154562
0,207,252.896924
0,406,255.959888
0,512,259.804578
0,1001,266.450173
0,66,267.252098
0.028091,317,272.289458
0.020268,817,277.490574
0.009159,357,280.150051
0.000913,57,280.859234
0.012275,212,282.706909
0.063092,1001,289.458911
0,84,290.399274
0.007633,1001,296.177251
0.006085,295,298.294844
0.000694,877,306.012576
0.035147,151,307.306376
0.049937,498,310.713339
0.005832,201,312.419142
0.009637,360,315.125964
0.004672,31,315.794914
0,88,316.707166
0,138,317.953078
0.061889,1001,324.603974
0,148,325.957818
0.003974,986,334.893414
0.023504,217,336.42499
0.005183,712,340.759269
0.03513,387,343.211062
0.012946,662,347.733833
0,110,348.75115
0,257,350.725212
0.055953,100,351.676202
0,92,352.638268
0.010733,98,353.714779
0,580,357.950594
0.005495,242,359.864572
0.006017,1001,368.500364
0.012766,221,370.04067
0,669,373.832999
0,567,377.145121
0,412,379.810713
0.007767,565,383.405012
0,457,386.276986
0,595,392.708694
0.00708,638,396.54896
0,295,398.718208
0.024965,292,401.029813
0.017892,140,402.276204
0.017692,1001,409.194092
0,187,410.751495
0.018441,790,415.896136
0.024268,587,419.272926
0,798,426.448572
0,229,427.853992
0,115,428.746512
0,171,429.998065
0,382,432.326786
0,158,433.550371
0.041722,816,438.329199
0.006482,870,444.462404
0,282,446.943826
0,103,448.005387
0.018374,813,456.001093
0.019183,325,458.595325
0,128,459.883761
0.027412,870,465.488519
0,1001,471.091592
0,1001,476.969601
0.014262,77,477.775891
0,628,484.338253
0,1001,490.90364
0.003936,523,494.692256
0,70,495.681112
0,242,497.63764
0.021226,194,499.337292
0,366,502.12792
0.007494,98,503.184581
0,590,507.297288
0.001051,1001,516.788301
0.026932,380,519.2478
0.007784,690,524.052502
0,271,526.388332
0.0044,400,529.319592
0.003262,897,535.549844
0.054092,99,536.62122
0.028087,101,537.778061
0,1001,547.173099
0.001932,575,550.414876
0,293,552.722184
0.008006,1001,559.837601
0,295,562.083372
0,465,565.22481
0,389,567.773597
0,510,571.357228
0,392,576.715244
0.021638,401,579.404584
0,78,580.370792
0,507,584.016376
0,97,585.019861
0,123,586.236554
0,211,587.967479
0,168,589.508172
0,18,590.008991
0,414,593.302011
0.073943,585,597.624363
0,144,598.90506
0.00624,137,600.183596
0,164,601.680063
0.0003,210,603.537378
0,181,605.062771
0,471,608.333395
0.036924,1001,616.330053
0,78,617.217995
0.000868,249,619.013698
0.006094,287,620.955002
0.028516,263,622.762927
0,218,624.223008
0,163,625.446483
0.006817,201,626.900815
0.002679,238,628.358574
0,255,630.112642
0,313,632.186625
0,334,634.382966
0.013757,156,635.499698
0,164,636.80726
0.003008,364,641.795517
0,386,644.07084
0,108,644.924496
0.006603,236,646.483147
0,350,648.669782
0.022017,179,649.896074
0.029109,240,651.341363
0,39,651.884021
0.0064,497,654.826965
0,161,656.085105
2e-05,55,656.755706
0.023745,221,658.422636
0,194,659.747731
0.002824,254,661.578787
0.010613,398,664.271081
0,61,664.930009
0,79,665.726938
0,682,672.398153
0.031182,125,673.418711
0,52,674.047175
0.006173,386,676.613326
0.072457,505,679.520103
0,126,680.642173
0.000419,106,681.645773
0.012992,161,682.929839
0.03974,171,684.293123
0,115,685.428906
0,153,686.614253
0,348,688.818018
0,97,689.628899
0.013558,280,691.198885
0,1001,696.985016
0.0142,238,698.746526
0,91,699.566527
0,487,705.181862
0,158,706.360225
0,40,706.910303
0,253,708.600529
0.000254,227,710.20781
0.031067,328,712.386527
0.012234,85,713.141287
0.001541,971,718.5906
0,157,719.82585
0,367,722.000077
0,222,723.432384
0,86,724.217076
0.041115,613,727.934464
0,279,732.33055
0,376,734.53469
0,68,735.305387
0.000227,456,738.047041
0.005004,196,739.411156
0.123975,315,741.583222
0,623,746.088356
0.026992,62,746.894908
0,1001,753.904194
0.016484,144,755.379423
0,861,764.50882
0,362,766.703711
0.00997,154,767.810464
0,298,769.752084
0.011221,376,772.426868
0,264,774.481951
0,106,775.479469
0,197,776.920246
0,442,780.000916
0,124,781.15795
0,245,783.127842
0.004052,742,788.347978
0.020812,562,792.505714
0,401,797.794689
0.015341,64,798.600301
0.057386,739,803.507725
0,525,807.165975
0,242,808.90142
0.024874,924,814.488278
0,138,815.639618
0.008594,117,816.727281
0.004024,378,819.21114
0.06914,387,821.504575
0,92,822.305212
0,553,828.232341
0.000303,543,831.516042
0,685,836.373961
0.032274,473,839.791107
0,156,841.190643
0.006031,88,842.171484
0.156621,607,846.567354
0,87,847.464681
0,150,848.870169
0,297,851.172729
0.0453,773,858.715494
0.0304,105,859.630653
0.010176,201,860.977188
0.01045,629,864.661791
0.017713,178,865.96525
0.001359,448,869.360313
0.009639,221,871.134684
0.009565,275,873.344555
0.018325,171,874.992041
0,411,878.043302
0,206,879.816894
0.023051,314,882.402789
0,119,883.654421
0,321,886.145613
0.01519,233,888.12857
0.005965,352,892.980339
0.007998,97,893.896798
0.05732,116,895.000079
0.001422,211,896.700779
0,104,897.789757
0,104,898.873372
0,107,899.955628
0.001789,329,902.521986
0,65,903.383465
0.011041,444,906.714105
0,215,908.753789
0,55,909.490571
0,312,911.677266
0.001113,1001,917.909029
0,162,919.37844
0,204,921.149017
0.008807,495,927.14064
0.006502,106,928.112366
0.069969,77,928.951273
0.03056,131,930.290201
0.071172,208,931.893481
0.00286,358,934.378237
0.008269,369,936.818957
0,338,938.78119
0,167,939.890538
0.003166,190,941.177511
0.000176,997,946.797081
0.003029,175,948.137925
0,90,949.15284
0.066448,72,950.076646
0,292,952.402198
0,232,954.403717
0,520,960.038389
0.02625,124,961.207105
0,41,961.869335
0.001983,148,963.165915
0.017094,549,966.921506
0.020536,908,973.272888
0,195,975.059097
0,88,976.017678
0,65,976.846471
0,100,977.878328
0,119,979.118214
0,287,981.450904
0.092097,123,982.650717
0.007997,186,984.376418
0.000406,442,987.699444
0,232,989.59904
0,864,997.438288
0,386,1000.312179
0.044027,551,1004.067983
0,160,1005.385333
0.021766,1001,1012.319819
0.023165,98,1013.480081
0,246,1015.750814
0.006509,667,1020.949789
0,153,1022.467365
0.003883,1001,1032.118659
0.012496,363,1035.090982
0.005288,528,1039.117651
0,1001,1046.491091
0.007784,282,1048.757042
0,124,1049.78813
0,119,1050.938296
0.009518,197,1052.790145
0.009835,296,1055.442072
0,500,1062.192397
0,1001,1069.591465
0.004808,230,1071.742956
0,789,1078.114083
0.003138,243,1080.349444
0.050924,77,1081.43091
0.020238,616,1086.482825
0.001997,134,1087.890301
0.012099,302,1090.53904
0.013648,115,1091.905365
0,685,1099.892904
0.01127,175,1101.253271
0,126,1102.83683
0,63,1103.696504
0,1001,1111.098294
0,91,1112.170335
0.006208,652,1116.934704
0,321,1119.805267
0.022419,501,1123.723862
0,105,1124.801526
0.011852,294,1127.254215
0,524,1134.176062
0.021514,1001,1140.672611
0,56,1141.497244
0.067146,388,1144.706459
0,504,1148.078499
0.003105,383,1150.42364
0.001,386,1153.183678
0,56,1153.882359
0.002923,123,1155.117382
0.005619,232,1156.955566
0.032125,607,1161.152542
0,143,1162.346788
0.003429,342,1167.479134
0.004237,342,1169.981047
0.032693,240,1171.921608
0,710,1176.921198
0,46,1177.60468
0.028817,895,1183.986677
0,297,1186.510292
0.159743,305,1188.988884
0,57,1189.681493
0,454,1193.421364
0.09926,619,1199.757502
0.011113,45,1200.353459
0,20,1200.877316
0.000766,98,1202.005816
0.007167,33,1202.720313
0,1001,1209.863863
0,266,1211.94713
0.036684,220,1213.872417
0,113,1215.057713
0,162,1216.576071
0,328,1219.221639
0,145,1220.627022
0.000251,337,1223.346339
0,103,1224.446776
0,238,1226.417122
0.006872,475,1229.778573
0.001402,287,1232.040619
0,523,1237.811342
0.007885,949,1243.454579
0.011522,91,1244.376945
0,154,1245.733857
0.025137,184,1247.528249
0.002478,978,1254.438062
0,123,1255.609971
0.004604,148,1257.084496
0.038202,158,1258.606082
0.014313,57,1259.42936
0.07937,485,1263.13107
0.126055,559,1269.600578
0.00026,302,1271.673303
0,553,1275.805836
0.021622,786,1281.403584
0.010175,980,1288.205741
0,90,1289.230898
0,192,1290.612866
0,322,1292.546671
0,93,1293.36449
0,286,1295.207041
0.000707,63,1295.909876
0,498,1301.765385
0.010527,455,1304.473297
0.007621,289,1306.368835
0,196,1307.831201
0.030088,216,1309.390767
0,817,1314.360554
0.001154,545,1317.705892
0.037227,750,1322.364965
0.10175,553,1325.986738
0,29,1326.580687
0.046168,566,1332.330339
0.004119,966,1337.962487
0.005736,202,1339.495188
0,102,1340.441542
0,156,1341.674444
0.00358,32,1342.201793
0.034017,168,1343.485205
0.002274,100,1344.461037
0.253562,663,1348.614496
0.032543,492,1351.702382
0,301,1353.8013
0,116,1354.812747
0,381,1360.187511
0.006165,404,1362.523657
0.003286,586,1365.893863
0,914,1370.998371
0,132,1371.999474
0.001139,292,1373.947592
0.002648,35,1374.579782
0.014033,391,1377.300853
0,105,1378.200933
0.000564,717,1382.683478
0,186,1384.144048
0,171,1385.508236
0.016585,219,1389.848243
0.011063,411,1392.172392
0.046565,90,1393.006341
0,187,1394.369179
0,240,1396.068214
0.003761,212,1397.635047
0,154,1398.883703
0.027857,53,1399.564403
0.017694,95,1400.491634
0.00509,338,1402.826834
0.014807,299,1404.858474
0,147,1406.063691
0.015796,188,1407.467786
0.04027,319,1409.444953
0.003008,61,1410.041507
0.008572,185,1411.31528
0.063311,386,1413.975334
0,204,1415.491374
0.000432,177,1416.834935
0,213,1421.231945
0.040902,237,1422.743912
0.016654,96,1423.671821
0,80,1424.443412
0,165,1425.76013
0.00745,1001,1431.812408
0,551,1435.254391
0,444,1438.124688
0.218453,116,1439.161746
0,90,1440.084679
0.009381,1001,1446.232451
0,318,1450.951181
0.030039,95,1451.760475
0.024929,271,1453.488053
0.01426,305,1455.121718
0.025232,175,1456.401611
0.075904,1001,1462.505507
0.018924,387,1465.090225
0,101,1466.066139
0.009175,341,1468.36188
0.024121,134,1469.560044
0.018296,137,1470.773655
0.057867,1001,1476.839469
0,356,1481.907278
0,525,1484.991459
0,283,1486.916917
8e-06,313,1488.815614
0.16629,445,1491.206174
0.081259,225,1492.777071
0,270,1494.719055
0.026394,113,1495.797196
0.238791,666,1499.923782
0.040242,285,1501.996058
0,901,1509.744144
0.010145,304,1511.560392
0.029366,340,1513.760417
0,192,1515.1546
0,269,1517.100358
0,243,1518.884732
0.007833,62,1519.623502
0.000321,167,1520.950271
0,122,1522.106218
0.041431,166,1523.399596
0.084633,669,1527.778235
0.013283,489,1530.483825
0.010237,191,1531.758116
0.003646,1001,1540.473498
0,233,1542.056338
0.032248,457,1545.371147
0,647,1549.742302
0,188,1551.333338
0.026113,154,1552.685308
0.103279,224,1554.572884
0,51,1555.311766
0.005638,164,1556.715657
0.027483,350,1559.41222
0.005592,573,1563.627509
0.030611,149,1565.086052
0.027397,1001,1575.39784
0.002967,442,1578.177273
0,88,1579.105837
0.00774,195,1580.772112
0.026352,245,1582.76564
0.012787,257,1584.508286
0.028521,703,1589.174379
0.016167,176,1590.690992
0.037694,188,1592.362688
0.006245,168,1593.866718
0.008166,334,1596.188606
0.026778,282,1598.366341
0.029663,324,1601.345998
0.050213,535,1608.326593
0.037676,612,1612.878339
0.287698,469,1616.592459
0.001733,103,1617.761102
